kab_code,longsor_per_year,banjir_per_year,ekstrim_per_year,kekeringan_per_year
3524,6,102,8,8
3525,2,174,10,10
3526,5,30,15,13
3527,13,93,10,1
3528,23,20,20,6
3529,11,22,26,2
3571,0,4,4,0
3572,1,0,2,0
3573,33,24,2,0
3574,0,2,0,0
3575,0,51,1,0
3576,0,2,1,0
3577,0,1,0,0
3578,0,4,3,0
3579,6,6,1,0
3601,28,179,48,49
3602,122,154,24,49
3603,0,97,32,18
3604,15,64,13,4
3671,0,18,10,0
3672,1,38,1,2
3673,3,15,4,1
3674,5,21,0,0
5101,4,17,3,0
5102,21,3,1,0
5103,17,3,5,0
5104,21,5,2,0
5105,6,4,0,0
5106,30,3,4,0
5107,20,3,5,0
5108,45,32,9,5
5171,0,9,1,0
5201,24,27,13,9
5202,4,14,12,8
5203,7,18,7,11
5204,5,72,8,9
5205,3,37,6,5
5206,12,124,36,31
5207,2,19,4,5
5208,2,3,2,1
5271,0,15,2,0
5272,3,24,8,1
5301,6,9,2,8
5302,11,93,16,70
5303,23,22,14,61
5304,60,21,10,38
5305,39,24,20,36
5306,41,44,22,24
5307,30,45,55,42
5308,12,17,37,38
5309,6,12,108,68
5310,34,28,76,40
5311,42,72,73,50
5312,14,10,9,27
5313,88,18,62,37
5314,16,21,21,65
5315,37,32,25,27
5316,5,17,3,12
5317,1,10,2,6
5318,15,16,2,17
5319,67,34,21,22
5320,3,1,6,32
5321,28,52,14,36
5371,13,9,15,2
6101,0,50,3,14
6102,12,78,2,6
6103,15,160,7,20
6104,0,32,5,10
6105,8,140,11,5
6106,4,140,5,23
6107,12,228,2,6
6108,31,268,6,23
6109,2,89,2,7
6110,24,239,4,10
6111,0,14,2,4
6112,0,44,8,12
6171,0,7,7,0
6172,0,12,2,3
6201,0,44,3,6
6202,2,134,2,17
6203,1,136,11,24
6204,11,124,0,12
6205,8,208,0,9
6206,0,5,3,2
6207,2,55,1,4
6208,2,80,0,2
6209,2,252,4,13
6210,0,63,4,12
6211,6,161,4,3
6212,1,92,0,20
6213,19,154,6,13
6271,0,14,0,4
6301,1,44,9,11
6302,1,20,5,4
6303,6,99,37,21
6304,0,19,12,11
6305,2,45,2,5
6306,9,35,18,10
6307,4,56,2,1
6308,1,273,14,12
6309,8,80,2,4
6310,4,60,2,2
6311,10,140,1,6
6371,0,1,1,0
6372,0,2,2,0
6401,1,60,2,5
6402,10,119,3,12
6403,20,168,3,10
6404,6,89,4,22
6405,2,34,1,8
6409,2,28,4,2
6411,0,22,0,1
6471,24,26,4,1
6472,23,78,0,0
6474,1,12,0,0
6501,13,64,2,2
6502,3,50,0,3
6503,0,8,1,1
6504,23,182,4,13
6571,14,14,0,0
7101,17,93,12,16
7102,34,43,10,9
7103,31,58,12,9
7104,10,22,6,21
7105,83,34,6,18
7106,5,12,6,27
7107,12,69,8,18
7108,19,2,2,8
7109,11,7,2,4
7110,20,67,11,1
7111,15,14,3,6
7171,39,61,4,2
7172,14,21,2,2
7173,7,4,3,4
7174,3,4,0,0
7201,4,19,2,1
7202,19,135,4,18
7203,1,24,1,2
7204,42,100,7,22
7205,29,116,10,9
7206,20,100,5,10
7207,14,116,2,20
7208,14,141,24,11
7209,9,60,5,20
7210,30,52,6,4
7211,2,5,1,2
7212,8,93,3,8
7271,0,8,2,0
7301,6,5,6,8
7302,4,16,11,8
7303,6,9,15,5
7304,2,30,5,4
7305,1,16,22,0
7306,19,21,21,2
7307,19,8,14,8
7308,2,45,24,8
7309,4,40,36,1
7310,8,24,16,4
7311,8,76,13,17
7312,6,34,6,5
7313,5,124,22,17
7314,9,27,12,6
7315,6,35,13,2
7316,27,11,1,5
7317,74,178,23,32
7318,66,2,10,11
7322,35,162,6,12
7325,7,68,12,9
7326,49,1,9,12
7371,0,25,6,0
7372,7,8,7,0
7373,3,6,3,0
7401,1,20,1,3
7402,3,29,8,0
7403,7,78,6,26
7404,4,37,6,10
7405,11,54,8,20
7406,4,70,6,8
7407,2,1,9,4
7408,20,40,9,9
7409,1,77,1,6
7410,10,97,8,24
7411,2,35,4,1
7412,1,23,6,10
7413,0,11,11,2
7414,0,0,10,2
7415,2,5,2,4
7471,22,49,0,0
7472,1,11,0,1
7501,6,78,2,13
7502,15,128,3,16
7503,4,71,2,20
7504,14,87,5,16
7505,12,97,10,25
7571,4,29,2,0
7601,21,15,4,2
7602,27,27,15,4
7603,160,23,4,10
7604,59,68,2,11
7605,14,94,2,4
7606,8,27,0,5
8101,11,8,3,12
8102,7,2,14,8
8103,12,80,5,6
8104,6,59,0,2
8105,0,2,2,5
8106,6,36,6,8
8107,7,48,6,8
8108,1,8,5,4
8109,10,40,3,12
8171,49,30,0,0
8172,0,1,1,0
8201,49,135,18,8
8202,3,18,2,4
8203,1,26,2,2
8204,30,160,17,20
8205,12,68,7,7
8206,4,68,4,8
8207,2,28,2,6
8208,3,39,5,4
8271,5,6,3,2
8272,4,30,20,8
9101,13,6,0,3
9102,2,6,4,1
9103,1,5,0,0
9104,7,60,0,3
9105,4,27,1,0
9106,0,2,0,0
9107,1,18,0,0
9108,2,4,4,0
9109,2,24,0,0
9110,0,1,0,0
9111,0,6,0,0
9112,30,34,0,0
9171,22,46,1,1
9401,0,6,0,2
9402,19,110,0,1
9403,24,51,0,1
9404,6,13,15,4
9408,4,6,3,0
9409,0,0,0,1
9410,107,110,0,0
9411,101,30,0,5
9412,30,57,2,1
9413,0,1,0,0
9414,0,1,0,4
9415,0,26,0,1
9416,44,24,0,0
9417,32,18,0,0
9418,3,2,0,0
9419,0,25,2,1
9420,4,26,0,1
9426,17,32,8,2
9427,0,0,0,0
9428,0,21,0,0
9429,2,2,0,0
9430,4,1,0,4
9431,0,0,0,0
9432,48,161,1,23
9433,218,0,0,5
9434,15,101,2,2
9435,38,13,2,2
9436,10,5,0,0
9471,10,14,0,0
