kab_code,balita,lansia,pertanian,merokok,no_access_food,hunian_tak_layak,persen_desa_laut,persen_kel_sungai,persen_disabilitas
1101,8.736942070275404,3.608736942070275,21.69990503323837,21.27255460588794,30.88235294117647,2.7573529411764706,81.88,0.29,0.8
1102,12.05611573871109,2.3235423060061375,15.51950898728628,19.640508548882067,12.70718232044199,3.4990791896869244,17.24,1.22,0.7
1103,9.649502379922112,4.54348766767633,19.255733448723497,23.366508005192557,9.75609756097561,1.2195121951219512,30.77,4.15,0.98
1104,11.048425011753643,2.8678890456041373,27.73859896567936,22.614010343206395,16.608391608391607,3.846153846153846,0,1.71,0.88
1105,9.218203033838972,3.6172695449241536,19.1365227537923,20.6145468689226,6.153846153846153,3.5384615384615383,11.48,1.18,0.66
1106,10.961538461538462,2.5,32.5,24.326923076923077,8.007117437722421,1.4234875444839856,0,1.64,0.59
1107,9.3376264949402,4.139834406623735,15.639374425023,24.471021159153633,6.83453237410072,1.079136690647482,10.59,1.38,0.63
1108,10.057581573896352,4.452975047984644,13.742802303262955,19.50095969289827,8.333333333333332,0.7716049382716049,12.09,0.17,0.5
1109,10.091378625347636,5.284068335319825,21.176003178386967,18.990862137465236,5.323741007194244,3.4532374100719423,5.06,0.61,0.87
1110,11.001577287066247,5.047318611987381,18.37539432176656,19.045741324921135,14.634146341463412,3.048780487804878,12.64,0.43,0.81
1111,8.96577380952381,3.757440476190476,19.38244047619048,18.303571428571427,13.803230543318648,4.992657856093979,4.34,0.47,0.72
1112,10.483506552191594,4.1572525982828745,15.454134658834162,23.813827383642113,6.691449814126393,0.18587360594795535,21.05,0.52,0.88
1113,10.494450050454086,2.320887991927346,34.56104944500504,24.77295660948537,4.638218923933209,1.1131725417439702,0,0.46,0.73
1114,9.156118143459915,3.9662447257383966,16.160337552742615,18.438818565400844,7.9288025889967635,1.779935275080906,4.23,1.12,0.61
1115,7.836198179979778,4.954499494438827,24.317492416582407,27.35085945399393,7.434944237918216,0.7434944237918215,6.31,0.91,1.12
1116,10.48728813559322,5.190677966101695,26.27118644067797,24.04661016949153,14.661654135338344,1.3157894736842104,30.23,1.59,0.72
1117,9.693318729463307,4.052573932092004,38.11610076670318,22.89156626506024,7.889908256880735,2.5688073394495414,0,0.27,0.6
1118,9.528487229862476,6.139489194499018,19.597249508840864,19.400785854616895,4.363636363636363,1.4545454545454546,15.32,0.19,1
1171,9.803921568627452,3.828197945845005,0.7936507936507936,14.519140989729229,4.222972972972973,0,13.33,0.15,0.26
1172,10.532150776053216,4.1019955654102,5.931263858093126,18.79157427937916,5.175983436853001,0.6211180124223602,88.89,0,0.94
1173,8.461201227531784,3.8579570363875497,6.926786497150372,19.99123191582639,13.043478260869565,1.0434782608695654,7.58,1.28,0.42
1174,8.149779735682818,4.273127753303965,6.6960352422907485,18.06167400881057,8.050089445438283,0.5366726296958855,27.94,0.12,0.43
1175,12.828507795100222,2.2717149220489974,17.7728285077951,18.21826280623608,11.76470588235294,6.25,0,7.31,0.56
1201,8.934579439252337,3.738317757009346,40.26168224299066,13.94392523364486,25.650557620817843,27.323420074349443,7.65,0.47,0.84
1202,9.300622482607103,4.174295129989015,20.94470889783962,23.361406078359575,13.597733711048155,10.623229461756374,4.91,0.67,0.39
1203,10.33912324234905,3.928866832092639,34.61538461538461,22.74607113316791,7.401315789473685,11.18421052631579,0.81,0.77,0.4
1204,8.902772354549004,3.5532994923857872,21.86645841468176,22.41311987504881,14.215686274509803,9.477124183006536,20,2.99,0.37
1205,8.768193113241036,5.8217962371317,35.995740149094786,21.08626198083067,7.575757575757576,0.9090909090909092,0,0.35,0.44
1206,8.767657087189479,6.8679980516317585,33.75547978567949,20.45786653677545,13.003663003663004,1.098901098901099,0,0.57,0.73
1207,8.004595940252775,3.600153198008426,17.426273458445042,20.413634622749903,13.149847094801222,1.6819571865443423,4.08,1.39,0.22
1208,8.276797829036635,3.799185888738128,16.85888738127544,20.62415196743555,11.568123393316196,1.0282776349614398,2.94,0.56,0.29
1209,7.488247145735392,6.581598388179985,24.78173270651444,19.879113498992613,6.2953995157385,0.3631961259079903,0,0.24,0.33
1210,8.398268398268398,5.151515151515151,40.38961038961039,21.818181818181817,8.116883116883116,0.8116883116883116,0,0.05,0.46
1211,8.095046314941602,4.873137333870318,39.347563431333064,21.103503826016915,4.154727793696276,1.002865329512894,0,0.33,0.44
1212,8.997901364113327,3.8562434417628544,8.919202518363065,18.23189926547744,12.474645030425965,0.3042596348884381,3.55,0.45,0.15
1213,8.410596026490067,5.1655629139072845,20.066225165562916,19.70198675496689,10.628019323671497,3.0193236714975846,10.83,2.55,0.34
1214,9.66325036603221,2.342606149341142,39.31185944363104,11.566617862371888,44.29752066115702,25.950413223140497,28.63,1.6,0.68
1215,8.86634318482576,6.440229378032643,45.69916188795765,19.982355535950596,6.7765567765567765,0.9157509157509156,0,0.22,0.45
1216,10.702012763868437,3.6327933235149734,35.29700540009818,20.71674030436917,14.173228346456693,3.937007874015748,0,0,0.52
1217,8.655705996131529,6.5764023210831715,41.10251450676983,20.647969052224372,16.69724770642202,0.9174311926605504,0,0.58,0.6
1218,8.047210300429185,4.291845493562231,18.419170243204576,19.349070100143063,16.307277628032345,0,5.76,0.57,0.33
1219,9.772989611388995,3.693728357060408,18.27626010003848,22.431704501731435,12.44309559939302,0.9104704097116842,15.23,0.96,0.41
1220,10.662701784197113,2.888700084961767,34.32455395072217,22.812234494477487,4.7775947281713345,4.448105436573312,0,0.4,0.37
1221,11.475409836065571,2.5220680958385877,26.986128625472887,22.488440521227407,10.726643598615915,6.228373702422145,0,0.44,0.37
1222,7.856849033319621,2.13903743315508,22.007404360345536,20.855614973262032,4.601226993865031,2.1472392638036815,0,1.27,0.11
1223,9.81132075471698,4.192872117400419,24.82180293501048,22.641509433962263,18.476499189627223,4.051863857374392,3.33,1.51,0.32
1224,7.246918192005977,3.0631303698169594,35.674262233843855,13.186402689577886,32.36363636363637,24.727272727272727,34.51,2.57,0.72
1225,8.528620822128314,3.534383403764887,38.53246254321936,12.79293123319247,35.10054844606947,20.29250457038391,29.52,1.5,1.01
