idkab;adap_score;persen_anggaran_bencana;persen_anggaran_kesehatan;persen_anggaran_pangan;persen_anggaran_sampah;persen_anggaran_lh;persen_anggaran_jalan;nmprov;nmkab
1274;53.4722528613056;1.9;25.42;0.1;1.22;0.12;;SUMATERA UTARA;TEBING TINGGI KOTA
1275;52.9120813464781;0.16;14.33;0.18;0.34;0.09;;SUMATERA UTARA;MEDAN KOTA
1276;51.5134764244758;0.73;20.79;0.1;0.67;0.07;2.16;SUMATERA UTARA;BINJAI KOTA
1277;49.6755988642391;0.41;14.62;0.13;0.66;0.08;;SUMATERA UTARA;PADANGSIDIMPUAN KOTA
1278;44.5676647237589;0.51;9.89;0.1;0.89;0.02;;SUMATERA UTARA;GUNUNGSITOLI KOTA
1301;38.4204986976264;0.41;15.56;0.2;0.17;0.07;5.36;SUMATERA BARAT;KEPULAUAN MENTAWAI 
1302;48.3535960422558;0.55;15.71;0.44;0.54;0.3;;SUMATERA BARAT;PESISIR SELATAN 
1303;45.2270328731758;0.19;14.61;0.18;0.15;0.03;4.81;SUMATERA BARAT;SOLOK 
1304;46.5285531529188;0.18;20.84;0.07;0.25;0.15;3.42;SUMATERA BARAT;SIJUNJUNG 
1305;51.6123079770229;0.07;16.58;0.26;0.36;0.01;;SUMATERA BARAT;TANAH DATAR 
1306;47.5203243203406;0.11;15.12;0.04;0.03;0.13;;SUMATERA BARAT;PADANG PARIAMAN 
1307;43.0589231397685;0.97;16.62;0.04;0.26;0.06;;SUMATERA BARAT;AGAM 
1308;49.3192690029002;0.06;12.89;0.36;0.11;0.13;;SUMATERA BARAT;LIMA PULUH KOTA 
1309;46.4876974488088;0.14;20.74;0.3;0.37;0.07;6.67;SUMATERA BARAT;PASAMAN 
1310;49.5196522091083;2.59;25.92;0.16;0.24;0.07;;SUMATERA BARAT;SOLOK SELATAN 
1311;53.2803497587593;2.7;18.25;0.11;0.06;0.02;4.48;SUMATERA BARAT;DHARMASRAYA 
1312;47.1734723907517;0.29;17.34;0.14;0.14;0.02;;SUMATERA BARAT;PASAMAN BARAT 
1371;52.6386982564443;0.0;12.73;;;;;SUMATERA BARAT;PADANG KOTA
1372;58.2678789580502;0.23;10.51;0.14;1.01;0.14;2.32;SUMATERA BARAT;SOLOK KOTA
1373;54.401221291611;0.0;17.1;;;;;SUMATERA BARAT;SAWAH LUNTO KOTA
1374;58.5712488608594;0.28;23.94;0.09;1.31;0.11;1.79;SUMATERA BARAT;PADANG PANJANG KOTA
1375;62.422552310005;0.22;12.59;0.15;1.92;0.05;;SUMATERA BARAT;BUKITTINGGI KOTA
1376;56.005209343069;0.41;21.98;0.13;0.9;0.26;;SUMATERA BARAT;PAYAKUMBUH KOTA
1377;58.3660468179572;0.25;12.55;0.13;0.45;0.58;6.21;SUMATERA BARAT;PARIAMAN KOTA
1401;46.9841727875621;0.14;14.53;0.11;0.35;0.06;3.33;RIAU;KUANTAN SINGINGI 
1402;42.9938006091772;0.09;16.09;0.14;0.33;0.06;;RIAU;INDRAGIRI HULU 
1403;32.2670863788658;0.48;16.16;0.11;0.41;0.01;;RIAU;INDRAGIRI HILIR 
1404;42.9003412440031;0.09;10.87;0.55;0.76;0.1;;RIAU;PELALAWAN 
1405;50.3644030472294;0.06;15.27;0.04;0.7;0.01;;RIAU;S I A K 
1406;45.9794294960043;0.53;15.08;0.2;0.12;0.04;4.71;RIAU;KAMPAR 
1407;43.7924216858922;0.02;12.14;0.02;0.37;0.06;1.26;RIAU;ROKAN HULU 
1408;47.5751123371333;0.2;13.71;0.11;0.53;0.12;;RIAU;BENGKALIS 
1409;42.144326263768;0.14;11.28;0.0;0.81;0.12;;RIAU;ROKAN HILIR 
1410;37.2342294737193;0.05;16.11;0.03;0.29;0.1;;RIAU;KEPULAUAN MERANTI 
1471;54.8616689635075;0.29;9.27;0.18;4.27;0.11;;RIAU;PEKANBARU KOTA
1473;51.4973037874161;0.09;26.28;0.17;0.43;0.07;4.27;RIAU;D U M A I KOTA
1501;46.7809647148176;0.66;9.54;0.04;0.28;0.15;;JAMBI;KERINCI 
1502;42.5963208253441;0.41;17.13;0.1;0.34;0.06;1.17;JAMBI;MERANGIN 
1503;43.5523603897988;0.04;18.41;0.07;0.01;0.04;;JAMBI;SAROLANGUN 
1504;43.5205883092448;0.04;15.5;0.33;0.22;0.06;;JAMBI;BATANG HARI 
1505;43.4675429634143;0.29;13.7;0.14;0.14;0.24;;JAMBI;MUARO JAMBI 
1506;37.7541261414475;0.29;12.11;0.61;0.06;0.43;;JAMBI;TANJUNG JABUNG TIMUR 
1507;39.0559264916049;0.15;14.37;0.43;0.47;0.13;4.44;JAMBI;TANJUNG JABUNG BARAT 
1508;41.0272233984671;0.15;18.31;0.07;0.26;0.01;;JAMBI;TEBO 
1509;45.4575053931699;0.74;18.45;0.04;0.53;0.02;;JAMBI;BUNGO 
1571;52.1435918402339;0.08;14.91;0.1;1.81;0.12;;JAMBI;JAMBI KOTA
1572;57.5618636094455;0.33;19.49;0.16;0.72;0.32;3.37;JAMBI;SUNGAI PENUH KOTA
1601;45.550738892438;0.19;12.57;0.12;0.16;0.11;;SUMATERA SELATAN;OGAN KOMERING ULU 
1602;37.459781307314;0.09;12.99;0.19;0.2;0.14;;SUMATERA SELATAN;OGAN KOMERING ILIR 
1603;44.1709840795326;0.17;17.1;0.52;0.2;0.1;;SUMATERA SELATAN;MUARA ENIM 
1604;44.4263058440145;0.11;15.95;0.09;0.18;0.05;;SUMATERA SELATAN;LAHAT 
1605;40.8697408928296;0.03;14.79;0.32;0.14;0.15;;SUMATERA SELATAN;MUSI RAWAS 
1606;40.8780723326917;0.4;18.69;0.37;0.83;0.12;;SUMATERA SELATAN;MUSI BANYUASIN 
1607;35.8370963463383;1.23;11.34;0.19;0.23;0.15;;SUMATERA SELATAN;BANYU ASIN 
1608;36.3875109488568;0.02;12.13;0.09;;0.02;;SUMATERA SELATAN;OGAN KOMERING ULU SELATAN 
1609;40.963671696747;0.59;16.19;0.52;0.18;0.02;4.88;SUMATERA SELATAN;OGAN KOMERING ULU TIMUR 
1610;40.9200401791956;0.65;12.3;0.23;0.28;0.08;;SUMATERA SELATAN;OGAN ILIR 
1611;37.1734565756896;0.13;14.72;0.08;0.28;0.1;;SUMATERA SELATAN;EMPAT LAWANG 
1612;42.8033886650074;0.37;12.11;0.17;0.04;0.18;;SUMATERA SELATAN;PENUKAL ABAB LEMATANG ILIR 
1613;37.5957333608499;0.07;12.71;0.66;0.05;0.08;8.32;SUMATERA SELATAN;MUSI RAWAS UTARA 
1671;50.3347678425306;0.01;14.85;0.02;1.52;0.03;;SUMATERA SELATAN;PALEMBANG KOTA
