idkab;nmprov;nmkab;persen_anggaran_kesehatan;persen_anggaran_sampah;persen_anggaran_lh;adap_score;adap_score_hat
1301;SUMATERA BARAT;KEPULAUAN MENTAWAI ;15.56;0.17;0.07;38.4204986976264;41.954749761537016
1302;SUMATERA BARAT;PESISIR SELATAN ;15.71;0.54;0.3;48.3535960422558;44.680853901168014
1303;SUMATERA BARAT;SOLOK ;14.61;0.15;0.03;45.2270328731758;41.277255215176154
1304;SUMATERA BARAT;SIJUNJUNG ;20.84;0.25;0.15;46.5285531529188;45.00789876173815
1305;SUMATERA BARAT;TANAH DATAR ;16.58;0.36;0.01;51.6123079770229;43.068281136175614
1306;SUMATERA BARAT;PADANG PARIAMAN ;15.12;0.03;0.13;47.5203243203406;41.336117871594055
1307;SUMATERA BARAT;AGAM ;16.62;0.26;0.06;43.0589231397685;42.81299241010234
1308;SUMATERA BARAT;LIMA PULUH KOTA ;12.89;0.11;0.13;49.3192690029002;40.71764328521239
1309;SUMATERA BARAT;PASAMAN ;20.74;0.37;0.07;46.4876974488088;45.21157928962255
1310;SUMATERA BARAT;SOLOK SELATAN ;25.92;0.24;0.07;49.5196522091083;46.91159757670701
1311;SUMATERA BARAT;DHARMASRAYA ;18.25;0.06;0.02;53.2803497587593;42.43851603312609
1312;SUMATERA BARAT;PASAMAN BARAT ;17.34;0.14;0.02;47.1734723907517;42.40953294949965
1372;SUMATERA BARAT;SOLOK KOTA;10.51;1.01;0.14;58.2678789580502;43.94034285689505
1374;SUMATERA BARAT;PADANG PANJANG KOTA;23.94;1.31;0.11;58.5712488608594;51.23408993301611
1375;SUMATERA BARAT;BUKITTINGGI KOTA;12.59;1.92;0.05;62.422552310005;48.80476751659388
1376;SUMATERA BARAT;PAYAKUMBUH KOTA;21.98;0.9;0.26;56.005209343069;49.02039097315133
1377;SUMATERA BARAT;PARIAMAN KOTA;12.55;0.45;0.58;58.3660468179572;43.95727179861095
1401;RIAU;KUANTAN SINGINGI ;14.53;0.35;0.06;46.9841727875621;42.30421574798262
1402;RIAU;INDRAGIRI HULU ;16.09;0.33;0.06;42.9938006091772;42.906535327541754
1403;RIAU;INDRAGIRI HILIR ;16.16;0.41;0.01;32.2670863788658;43.116596149086995
1404;RIAU;PELALAWAN ;10.87;0.76;0.1;42.9003412440031;42.762823709692036
1405;RIAU;S I A K ;15.27;0.7;0.01;50.3644030472294;44.08724281735145
1406;RIAU;KAMPAR ;15.08;0.12;0.04;45.9794294960043;41.385343397713676
1407;RIAU;ROKAN HULU ;12.14;0.37;0.06;43.7924216858922;41.33123105684255
1408;RIAU;BENGKALIS ;13.71;0.53;0.12;47.5751123371333;43.02551690155055
1409;RIAU;ROKAN HILIR ;11.28;0.81;0.12;42.144326263768;43.2612473850551
1410;RIAU;KEPULAUAN MERANTI ;16.11;0.29;0.1;37.2342294737193;42.88564972587034
1471;RIAU;PEKANBARU KOTA;9.27;4.27;0.11;54.8616689635075;58.646820802738475
1473;RIAU;D U M A I KOTA;26.28;0.43;0.07;51.4973037874161;47.96871385258025
1501;JAMBI;KERINCI ;9.54;0.28;0.15;46.7809647148176;40.103022525212495
1502;JAMBI;MERANGIN ;17.13;0.34;0.06;42.5963208253441;43.41815927640953
1503;JAMBI;SAROLANGUN ;18.41;0.01;0.04;43.5523603897988;42.35353260842157
1504;JAMBI;BATANG HARI ;15.5;0.22;0.06;43.5205883092448;42.12411340885535
1505;JAMBI;MUARO JAMBI ;13.7;0.14;0.24;43.4675429634143;41.657844531783255
1506;JAMBI;TANJUNG JABUNG TIMUR ;12.11;0.06;0.43;37.7541261414475;41.32508016922122
1507;JAMBI;TANJUNG JABUNG BARAT ;14.37;0.47;0.13;39.0559264916049;43.076927839090615
1508;JAMBI;TEBO ;18.31;0.26;0.01;41.0272233984671;43.369111290240845
1509;JAMBI;BUNGO ;18.45;0.53;0.02;45.4575053931699;44.74510954345416
1571;JAMBI;JAMBI KOTA;14.91;1.81;0.12;52.1435918402339;49.59995883884731
1572;JAMBI;SUNGAI PENUH KOTA;19.49;0.72;0.32;57.5618636094455;47.297556523202026
1601;SUMATERA SELATAN;OGAN KOMERING ULU ;12.57;0.16;0.11;45.550738892438;40.73117319443144
1602;SUMATERA SELATAN;OGAN KOMERING ILIR ;12.99;0.2;0.14;37.459781307314;41.226608391735574
1603;SUMATERA SELATAN;MUARA ENIM ;17.1;0.2;0.1;44.1709840795326;42.90318346902737
1604;SUMATERA SELATAN;LAHAT ;15.95;0.18;0.05;44.4263058440145;42.09665025287428
1605;SUMATERA SELATAN;MUSI RAWAS ;14.79;0.14;0.15;40.8697408928296;41.787125627109695
1606;SUMATERA SELATAN;MUSI BANYUASIN ;18.69;0.83;0.12;40.8780723326917;46.66479051740076
1607;SUMATERA SELATAN;BANYU ASIN ;11.34;0.23;0.15;35.8370963463383;40.67099408336339
1609;SUMATERA SELATAN;OGAN KOMERING ULU TIMUR ;16.19;0.18;0.02;40.963671696747;42.08466519979637
1610;SUMATERA SELATAN;OGAN ILIR ;12.3;0.28;0.08;40.9200401791956;41.0575432392894
