idkab;nmprov;nmkab;persen_anggaran_kesehatan;persen_anggaran_sampah;persen_anggaran_lh;adap_score;adap_score_hat
1312;SUMATERA BARAT;PASAMAN BARAT ;17.34;0.14;0.02;47.1734723907517;28.56591
1372;SUMATERA BARAT;SOLOK KOTA;10.51;1.01;0.14;58.2678789580502;29.9935
1374;SUMATERA BARAT;PADANG PANJANG KOTA;23.94;1.31;0.11;58.5712488608594;29.9935
1375;SUMATERA BARAT;BUKITTINGGI KOTA;12.59;1.92;0.05;62.422552310005;29.9935
1376;SUMATERA BARAT;PAYAKUMBUH KOTA;21.98;0.9;0.26;56.005209343069;29.9935
1377;SUMATERA BARAT;PARIAMAN KOTA;12.55;0.45;0.58;58.3660468179572;28.56591
1401;RIAU;KUANTAN SINGINGI ;14.53;0.35;0.06;46.9841727875621;28.56591
1402;RIAU;INDRAGIRI HULU ;16.09;0.33;0.06;42.9938006091772;28.56591
1403;RIAU;INDRAGIRI HILIR ;16.16;0.41;0.01;32.2670863788658;28.56591
1404;RIAU;PELALAWAN ;10.87;0.76;0.1;42.9003412440031;29.9935
1405;RIAU;S I A K ;15.27;0.7;0.01;50.3644030472294;29.9935
1406;RIAU;KAMPAR ;15.08;0.12;0.04;45.9794294960043;28.56591
1407;RIAU;ROKAN HULU ;12.14;0.37;0.06;43.7924216858922;28.56591
1408;RIAU;BENGKALIS ;13.71;0.53;0.12;47.5751123371333;28.56591
1409;RIAU;ROKAN HILIR ;11.28;0.81;0.12;42.144326263768;29.9935
1410;RIAU;KEPULAUAN MERANTI ;16.11;0.29;0.1;37.2342294737193;28.56591
1471;RIAU;PEKANBARU KOTA;9.27;4.27;0.11;54.8616689635075;29.9935
1473;RIAU;D U M A I KOTA;26.28;0.43;0.07;51.4973037874161;28.56591
1501;JAMBI;KERINCI ;9.54;0.28;0.15;46.7809647148176;28.56591
1502;JAMBI;MERANGIN ;17.13;0.34;0.06;42.5963208253441;28.56591
1503;JAMBI;SAROLANGUN ;18.41;0.01;0.04;43.5523603897988;28.56591
1504;JAMBI;BATANG HARI ;15.5;0.22;0.06;43.5205883092448;28.56591
1505;JAMBI;MUARO JAMBI ;13.7;0.14;0.24;43.4675429634143;28.56591
