idkab;nmprov;nmkab;persen_anggaran_kesehatan;persen_anggaran_sampah;persen_anggaran_lh;adap_score;adap_score_hat
1473;RIAU;D U M A I KOTA;26.28;0.43;0.07;51.4973037874161;45.675880167290984
1501;JAMBI;KERINCI ;9.54;0.28;0.15;46.7809647148176;40.09552458313394
1502;JAMBI;MERANGIN ;17.13;0.34;0.06;42.5963208253441;43.53360008343909
1503;JAMBI;SAROLANGUN ;18.41;0.01;0.04;43.5523603897988;41.79145272313996
1504;JAMBI;BATANG HARI ;15.5;0.22;0.06;43.5205883092448;42.830087285474534
1505;JAMBI;MUARO JAMBI ;13.7;0.14;0.24;43.4675429634143;42.56162885003724
1506;JAMBI;TANJUNG JABUNG TIMUR ;12.11;0.06;0.43;37.7541261414475;40.62027603269392
1507;JAMBI;TANJUNG JABUNG BARAT ;14.37;0.47;0.13;39.0559264916049;42.24809454796476
1508;JAMBI;TEBO ;18.31;0.26;0.01;41.0272233984671;43.56410797266846
1509;JAMBI;BUNGO ;18.45;0.53;0.02;45.4575053931699;44.372537671688015
1571;JAMBI;JAMBI KOTA;14.91;1.81;0.12;52.1435918402339;51.61733689008097
1572;JAMBI;SUNGAI PENUH KOTA;19.49;0.72;0.32;57.5618636094455;49.50351412550139
1601;SUMATERA SELATAN;OGAN KOMERING ULU ;12.57;0.16;0.11;45.550738892438;39.827302145853025
1602;SUMATERA SELATAN;OGAN KOMERING ILIR ;12.99;0.2;0.14;37.459781307314;40.681200867550274
1603;SUMATERA SELATAN;MUARA ENIM ;17.1;0.2;0.1;44.1709840795326;43.09548223722352
1604;SUMATERA SELATAN;LAHAT ;15.95;0.18;0.05;44.4263058440145;42.584541336677354
1605;SUMATERA SELATAN;MUSI RAWAS ;14.79;0.14;0.15;40.8697408928296;41.970215046541995
1606;SUMATERA SELATAN;MUSI BANYUASIN ;18.69;0.83;0.12;40.8780723326917;48.342103036449515
1607;SUMATERA SELATAN;BANYU ASIN ;11.34;0.23;0.15;35.8370963463383;39.8792435731094
1609;SUMATERA SELATAN;OGAN KOMERING ULU TIMUR ;16.19;0.18;0.02;40.963671696747;42.73348876016928
1610;SUMATERA SELATAN;OGAN ILIR ;12.3;0.28;0.08;40.9200401791956;40.452063085128586
1611;SUMATERA SELATAN;EMPAT LAWANG ;14.72;0.28;0.1;37.1734565756896;42.89759152703123
1612;SUMATERA SELATAN;PENUKAL ABAB LEMATANG ILIR ;12.11;0.04;0.18;42.8033886650074;39.91988872338641
1613;SUMATERA SELATAN;MUSI RAWAS UTARA ;12.71;0.05;0.08;37.5957333608499;39.63086832565655
1671;SUMATERA SELATAN;PALEMBANG KOTA;14.85;1.52;0.03;50.3347678425306;51.524300784559806
1672;SUMATERA SELATAN;PRABUMULIH KOTA;18.41;0.0;0.03;50.8870886548102;41.79145272313996
1673;SUMATERA SELATAN;PAGAR ALAM KOTA;20.28;0.01;0.05;47.881982411917;42.73962225413711
1674;SUMATERA SELATAN;LUBUKLINGGAU KOTA;17.74;0.54;0.02;48.3645408851328;44.66817659647132
1701;BENGKULU;BENGKULU SELATAN ;15.68;0.04;0.02;49.4009483166375;42.09769981252667
1702;BENGKULU;REJANG LEBONG ;20.51;0.64;0.02;45.7209742694037;46.12403777645037
1703;BENGKULU;BENGKULU UTARA ;16.25;0.24;0.04;47.1284942339497;42.80801881258038
1704;BENGKULU;KAUR ;13.81;0.13;0.05;42.5703014014118;41.49727914476136
1705;BENGKULU;SELUMA ;14.02;0.01;0.0;44.6828925860597;41.37540160320644
1706;BENGKULU;MUKOMUKO ;15.86;0.15;0.04;49.7766311904523;42.26056595875001
1707;BENGKULU;LEBONG ;13.85;0.21;0.5;44.6014779984783;46.28934407327661
1708;BENGKULU;KEPAHIANG ;16.28;0.66;0.05;44.4856175947875;46.41365382881662
1709;BENGKULU;BENGKULU TENGAH ;14.35;0.07;0.02;45.5578203357221;41.400612856385045
1771;BENGKULU;BENGKULU KOTA;15.66;0.37;0.13;55.8969946719598;42.95125657662285
1801;LAMPUNG;LAMPUNG BARAT ;17.15;0.23;0.09;42.4404164304592;43.274982569877814
1802;LAMPUNG;TANGGAMUS ;12.63;0.08;0.02;41.7951648320186;39.93747517451926
1803;LAMPUNG;LAMPUNG SELATAN ;16.52;0.04;0.12;41.0980629942983;41.66310645209528
1804;LAMPUNG;LAMPUNG TIMUR ;11.92;0.1;0.05;40.8195861026712;39.64439439255817
1805;LAMPUNG;LAMPUNG TENGAH ;11.32;0.04;0.09;42.2102564875602;39.13978599289293
1806;LAMPUNG;LAMPUNG UTARA ;12.57;0.34;0.06;40.3190015235753;40.70027417972473
1807;LAMPUNG;WAY KANAN ;14.34;0.11;0.07;41.0491120702265;41.49727914476136
