idkab;nmprov;nmkab;persen_anggaran_kesehatan;persen_anggaran_sampah;persen_anggaran_lh;adap_score;adap_score_hat
1309;SUMATERA BARAT;PASAMAN ;20.74;0.37;0.07;46.4876974488088;45.183324320586124
1310;SUMATERA BARAT;SOLOK SELATAN ;25.92;0.24;0.07;49.5196522091083;46.88825113595289
1311;SUMATERA BARAT;DHARMASRAYA ;18.25;0.06;0.02;53.2803497587593;42.33111711974698
1312;SUMATERA BARAT;PASAMAN BARAT ;17.34;0.14;0.02;47.1734723907517;42.30128221076561
1372;SUMATERA BARAT;SOLOK KOTA;10.51;1.01;0.14;58.2678789580502;44.009866882928314
1374;SUMATERA BARAT;PADANG PANJANG KOTA;23.94;1.31;0.11;58.5712488608594;51.270427285462596
1375;SUMATERA BARAT;BUKITTINGGI KOTA;12.59;1.92;0.05;62.422552310005;48.73834998146186
1376;SUMATERA BARAT;PAYAKUMBUH KOTA;21.98;0.9;0.26;56.005209343069;49.28493519993798
1377;SUMATERA BARAT;PARIAMAN KOTA;12.55;0.45;0.58;58.3660468179572;44.70373748749999
1401;RIAU;KUANTAN SINGINGI ;14.53;0.35;0.06;46.9841727875621;42.25470075461125
1402;RIAU;INDRAGIRI HULU ;16.09;0.33;0.06;42.9938006091772;42.85850209046787
1403;RIAU;INDRAGIRI HILIR ;16.16;0.41;0.01;32.2670863788658;42.99192811397063
1404;RIAU;PELALAWAN ;10.87;0.76;0.1;42.9003412440031;42.77127177630073
1405;RIAU;S I A K ;15.27;0.7;0.01;50.3644030472294;43.961780515248975
1406;RIAU;KAMPAR ;15.08;0.12;0.04;45.9794294960043;41.3056234795802
1407;RIAU;ROKAN HULU ;12.14;0.37;0.06;43.7924216858922;41.27944398524816
1408;RIAU;BENGKALIS ;13.71;0.53;0.12;47.5751123371333;43.06731346925694
1409;RIAU;ROKAN HILIR ;11.28;0.81;0.12;42.144326263768;43.300781471312995
1410;RIAU;KEPULAUAN MERANTI ;16.11;0.29;0.1;37.2342294737193;42.89900109571073
1471;RIAU;PEKANBARU KOTA;9.27;4.27;0.11;54.8616689635075;58.66973232378217
1473;RIAU;D U M A I KOTA;26.28;0.43;0.07;51.4973037874161;47.945745048481406
1501;JAMBI;KERINCI ;9.54;0.28;0.15;46.7809647148176;40.186832263159516
1502;JAMBI;MERANGIN ;17.13;0.34;0.06;42.5963208253441;43.371118156252535
1503;JAMBI;SAROLANGUN ;18.41;0.01;0.04;43.5523603897988;42.27696332569652
1504;JAMBI;BATANG HARI ;15.5;0.22;0.06;43.5205883092448;42.075498202433174
1505;JAMBI;MUARO JAMBI ;13.7;0.14;0.24;43.4675429634143;41.88367874797568
1506;JAMBI;TANJUNG JABUNG TIMUR ;12.11;0.06;0.43;37.7541261414475;41.84090699377272
1507;JAMBI;TANJUNG JABUNG BARAT ;14.37;0.47;0.13;39.0559264916049;43.13468507619899
1508;JAMBI;TEBO ;18.31;0.26;0.01;41.0272233984671;43.24646296423658
1509;JAMBI;BUNGO ;18.45;0.53;0.02;45.4575053931699;44.63798726813839
1571;JAMBI;JAMBI KOTA;14.91;1.81;0.12;52.1435918402339;49.64313279550926
1572;JAMBI;SUNGAI PENUH KOTA;19.49;0.72;0.32;57.5618636094455;47.651756120463915
1601;SUMATERA SELATAN;OGAN KOMERING ULU ;12.57;0.16;0.11;45.550738892438;40.756473176135955
1602;SUMATERA SELATAN;OGAN KOMERING ILIR ;12.99;0.2;0.14;37.459781307314;41.29834530579331
1603;SUMATERA SELATAN;MUARA ENIM ;17.1;0.2;0.1;44.1709840795326;42.91746100580772
1604;SUMATERA SELATAN;LAHAT ;15.95;0.18;0.05;44.4263058440145;42.03311297337875
1605;SUMATERA SELATAN;MUSI RAWAS ;14.79;0.14;0.15;40.8697408928296;41.875908712973164
1606;SUMATERA SELATAN;MUSI BANYUASIN ;18.69;0.83;0.12;40.8780723326917;46.711384037327456
1607;SUMATERA SELATAN;BANYU ASIN ;11.34;0.23;0.15;35.8370963463383;40.756508602363034
1609;SUMATERA SELATAN;OGAN KOMERING ULU TIMUR ;16.19;0.18;0.02;40.963671696747;41.97532677279663
1610;SUMATERA SELATAN;OGAN ILIR ;12.3;0.28;0.08;40.9200401791956;41.03657846226014
1611;SUMATERA SELATAN;EMPAT LAWANG ;14.72;0.28;0.1;37.1734565756896;42.229747196519725
1612;SUMATERA SELATAN;PENUKAL ABAB LEMATANG ILIR ;12.11;0.04;0.18;42.8033886650074;40.36992612403574
1613;SUMATERA SELATAN;MUSI RAWAS UTARA ;12.71;0.05;0.08;37.5957333608499;40.13497605428801
