idkab;nmprov;nmkab;persen_anggaran_bencana;persen_anggaran_kesehatan;persen_anggaran_pangan;persen_anggaran_sampah;persen_anggaran_lh;adap_score;adap_score_hat
3517;JAWA TIMUR;JOMBANG ;0.02;23.03;0.1;0.2;0.04;48.3620441731255;45.47821159593414
3518;JAWA TIMUR;NGANJUK ;0.13;18.13;0.02;0.25;0.09;46.7313112716955;43.957580099826316
3519;JAWA TIMUR;MADIUN ;1.24;17.2;0.07;0.11;0.09;46.3036906573202;42.4691432006611
3520;JAWA TIMUR;MAGETAN ;0.07;17.1;0.05;0.14;0.11;46.9789904854896;43.081318781257764
3521;JAWA TIMUR;NGAWI ;0.2;18.91;0.25;0.06;0.09;44.3445073276671;42.997249054999976
3522;JAWA TIMUR;BOJONEGORO ;0.14;15.71;0.08;0.17;0.02;43.5864636602263;41.997166261747644
3523;JAWA TIMUR;TUBAN ;0.44;16.41;0.33;0.31;0.14;43.4440733676762;43.13533531453576
3524;JAWA TIMUR;LAMONGAN ;0.06;18.82;0.27;0.13;0.07;46.6624939104539;43.17012060292659
3525;JAWA TIMUR;GRESIK ;0.08;15.06;0.07;0.32;0.07;46.9870280524544;42.73851343521708
3526;JAWA TIMUR;BANGKALAN ;0.05;17.6;0.26;0.22;0.06;35.8534807286836;43.01012902190301
3527;JAWA TIMUR;SAMPANG ;0.07;16.54;0.3;0.25;0.03;33.1172440820269;42.426932377092484
3528;JAWA TIMUR;PAMEKASAN ;0.1;15.23;0.03;0.2;0.09;38.6541577478181;42.4422169668822
3529;JAWA TIMUR;SUMENEP ;0.04;16.45;0.79;0.09;0.08;36.9471640204071;41.094876927540255
3571;JAWA TIMUR;KEDIRI KOTA;0.33;25.19;0.07;1.0;0.06;55.1176519304198;50.200541029964356
3572;JAWA TIMUR;BLITAR KOTA;0.44;29.76;0.09;1.36;0.15;59.4320766708168;54.34216509895168
3573;JAWA TIMUR;MALANG KOTA;0.14;14.44;0.11;1.14;0.04;55.9610477393423;45.98643612365287
3574;JAWA TIMUR;PROBOLINGGO KOTA;0.08;24.2;0.07;0.65;0.08;48.8623567556478;48.34471850433468
3575;JAWA TIMUR;PASURUAN KOTA;0.15;19.82;0.15;1.39;0.15;48.1382895001684;50.09144567809157
3576;JAWA TIMUR;MOJOKERTO KOTA;0.89;24.12;0.09;0.46;0.05;54.6355795051326;46.96622874672555
3577;JAWA TIMUR;MADIUN KOTA;0.19;20.24;0.11;0.69;0.16;57.4479253726536;47.15963009036276
3579;JAWA TIMUR;BATU KOTA;0.7;9.5;0.44;0.68;0.11;49.9517747712948;41.35132794484978
3601;BANTEN;PANDEGLANG ;0.08;14.05;0.02;0.07;0.05;33.4380850434393;41.10760298599753
3602;BANTEN;LEBAK ;0.11;16.8;0.14;0.25;0.11;34.6552298826981;43.28702113194194
3603;BANTEN;TANGERANG ;0.38;19.64;0.04;0.89;0.14;43.155368524313;47.76435501725407
3604;BANTEN;SERANG ;0.15;16.1;0.3;0.91;0.15;36.0995382210882;45.973362146347455
3671;BANTEN;TANGERANG KOTA;0.05;15.73;0.08;2.6;0.25;51.3794633045164;54.632397858351275
3672;BANTEN;CILEGON KOTA;0.19;16.07;0.11;0.7;0.31;49.7351581424193;46.26535632733112
3673;BANTEN;SERANG KOTA;0.17;9.2;0.03;1.9;0.09;41.9288275114742;47.62133353167035
3674;BANTEN;TANGERANG SELATAN KOTA;0.28;18.21;0.03;4.59;0.16;53.1882799990445;64.3975367894367
5101;BALI;JEMBRANA ;0.17;17.25;0.05;0.37;0.02;51.078854438416;43.642234620710845
5102;BALI;TABANAN ;0.15;21.74;0.03;0.47;0.02;53.8909701596574;46.12134743288135
5103;BALI;BADUNG ;0.16;17.5;0.02;1.45;0.07;60.4773135323633;49.09596511107874
5104;BALI;GIANYAR ;0.17;23.94;0.0;0.16;0.05;55.9314118221992;45.882560097985014
5105;BALI;KLUNGKUNG ;0.08;27.01;0.05;0.77;0.03;49.6945255657021;49.872609282396574
5106;BALI;BANGLI ;0.05;27.91;0.03;0.34;0.01;46.7560166086428;48.20715557749227
5107;BALI;KARANGASEM ;0.11;18.33;0.14;0.66;0.03;45.7546902317437;45.37748578599141
5108;BALI;BULELENG ;0.22;19.94;0.1;0.71;0.03;46.5982809772206;46.35306616117334
5201;NUSA TENGGARA BARAT;LOMBOK BARAT ;0.06;19.44;0.31;0.45;0.11;41.8071492480854;45.089656130897986
5202;NUSA TENGGARA BARAT;LOMBOK TENGAH ;0.21;13.32;0.45;0.15;0.03;38.6427021109909;40.24106679525436
5203;NUSA TENGGARA BARAT;LOMBOK TIMUR ;0.12;19.18;0.17;0.21;0.01;41.5452527860124;43.497384529068796
5204;NUSA TENGGARA BARAT;SUMBAWA ;0.03;23.74;0.19;0.36;0.15;46.3365265943504;47.024615939260826
5205;NUSA TENGGARA BARAT;DOMPU ;0.07;16.73;0.31;0.27;0.03;45.7949889806467;42.585376884033664
5206;NUSA TENGGARA BARAT;BIMA ;0.09;16.94;0.68;0.08;0.11;45.770184270437;41.620884477303186
5207;NUSA TENGGARA BARAT;SUMBAWA BARAT ;0.13;13.5;0.74;0.19;0.19;55.4549980896094;40.97462337738094
5208;NUSA TENGGARA BARAT;LOMBOK UTARA ;0.17;19.87;0.14;1.08;0.03;36.8861537257051;47.97697951117298
5271;NUSA TENGGARA BARAT;MATARAM KOTA;0.07;22.32;0.08;1.67;0.05;54.0152544703811;52.03665160570351
5272;NUSA TENGGARA BARAT;BIMA KOTA;0.36;18.85;0.15;0.43;0.12;51.8230900433084;44.98518448255972
5301;NUSA TENGGARA TIMUR;SUMBA BARAT ;0.43;22.42;0.05;0.23;0.08;35.260585403448;45.54747822510953
5302;NUSA TENGGARA TIMUR;SUMBA TIMUR ;0.38;19.03;0.35;0.01;0.17;36.5280022118677;43.06457096162719
5303;NUSA TENGGARA TIMUR;KUPANG ;0.28;15.69;0.32;0.07;0.16;36.8907231568429;41.89616733313168
5304;NUSA TENGGARA TIMUR;TIMOR TENGAH SELATAN ;0.03;19.52;0.2;0.13;0.01;30.2467114002083;43.252625614369144
5305;NUSA TENGGARA TIMUR;TIMOR TENGAH UTARA ;0.07;22.2;0.28;0.33;0.04;40.9457253160601;45.38190679994675
5306;NUSA TENGGARA TIMUR;BELU ;2.21;22.12;0.45;0.41;0.2;41.2440516795423;45.70753057358062
5307;NUSA TENGGARA TIMUR;ALOR ;0.07;18.71;0.09;0.17;0.02;42.7106898928783;43.321435924194276
5308;NUSA TENGGARA TIMUR;LEMBATA ;0.03;12.35;0.21;0.0;0.01;43.4435185141909;39.47938690157692
5309;NUSA TENGGARA TIMUR;FLORES TIMUR ;0.29;17.04;0.16;0.15;0.02;46.2744241615689;42.30292652919988
5310;NUSA TENGGARA TIMUR;SIKKA ;0.0;23.62;0.03;0.04;0.0;42.8998357326915;44.8892472234379
5311;NUSA TENGGARA TIMUR;ENDE ;0.02;20.46;0.06;0.41;0.03;41.0278941777637;45.32818217653295
5312;NUSA TENGGARA TIMUR;NGADA ;0.0;18.9;4.26;0.34;0.01;46.4401068849569;36.82785299147932
5313;NUSA TENGGARA TIMUR;MANGGARAI ;0.04;18.63;0.12;0.46;0.01;40.7480904114922;44.523062298838106
5314;NUSA TENGGARA TIMUR;ROTE NDAO ;0.07;15.29;0.08;0.08;0.08;39.4335046042899;41.77605538851349
5315;NUSA TENGGARA TIMUR;MANGGARAI BARAT ;0.89;18.28;0.24;0.56;0.01;39.9829899161827;44.35643253475915
5316;NUSA TENGGARA TIMUR;SUMBA TENGAH ;0.18;16.79;0.6;0.06;0.33;37.3812817968983;42.88695382137034
5317;NUSA TENGGARA TIMUR;SUMBA BARAT DAYA ;0.15;12.78;0.39;0.07;0.08;27.5180716753788;40.056009154594
5318;NUSA TENGGARA TIMUR;NAGEKEO ;0.14;16.78;0.1;0.0;0.02;42.6125931106174;41.64744773225253
5319;NUSA TENGGARA TIMUR;MANGGARAI TIMUR ;0.11;16.39;0.12;0.11;0.04;38.2727020674696;42.07749545716602
5320;NUSA TENGGARA TIMUR;SABU RAIJUA ;0.26;14.65;0.1;0.0;0.15;38.0871617156565;41.448132315114236
5321;NUSA TENGGARA TIMUR;MALAKA ;0.02;19.45;0.25;0.12;0.0;40.3995036975867;43.03126795174601
5371;NUSA TENGGARA TIMUR;KUPANG KOTA;0.05;13.08;0.14;0.73;0.09;54.8131279715991;43.76712426411413
6101;KALIMANTAN BARAT;SAMBAS ;0.07;15.23;0.09;0.47;0.1;40.4593166074545;43.65321031930965
6102;KALIMANTAN BARAT;BENGKAYANG ;0.09;15.79;0.06;0.13;0.11;38.363847856022;42.43489743020391
6103;KALIMANTAN BARAT;LANDAK ;0.07;19.71;0.07;0.37;0.13;33.79120678846;45.37657857030391
6104;KALIMANTAN BARAT;MEMPAWAH ;0.02;26.63;0.08;0.48;0.03;42.0750933159774;48.33148060383881
6105;KALIMANTAN BARAT;SANGGAU ;0.12;15.91;0.14;0.15;0.15;33.9304568742319;42.668796248427896
6106;KALIMANTAN BARAT;KETAPANG ;0.06;12.08;0.09;0.39;0.17;34.1354349655079;42.31801119420746
6107;KALIMANTAN BARAT;SINTANG ;0.09;17.21;0.03;0.09;0.06;31.0927075391165;42.62947994213038
6108;KALIMANTAN BARAT;KAPUAS HULU ;0.28;13.39;0.04;0.1;0.12;37.9222260564982;41.27599183181771
6109;KALIMANTAN BARAT;SEKADAU ;0.32;19.65;0.07;0.22;0.03;33.7367565364837;43.98323599717246
6110;KALIMANTAN BARAT;MELAWI ;0.15;10.85;0.17;0.07;0.06;28.8492897692574;39.473913593789014
6111;KALIMANTAN BARAT;KAYONG UTARA ;0.12;15.27;0.18;0.04;0.3;43.0140249509209;42.70316808121063
6112;KALIMANTAN BARAT;KUBU RAYA ;0.1;12.05;0.23;1.05;0.09;39.47498418685;44.618728631279815
6172;KALIMANTAN BARAT;SINGKAWANG KOTA;0.07;27.87;0.08;0.56;0.01;47.8388574704061;49.11195312309899
6201;KALIMANTAN TENGAH;KOTAWARINGIN BARAT ;0.1;23.73;0.16;0.72;0.08;48.0345500817126;48.297016977154534
6202;KALIMANTAN TENGAH;KOTAWARINGIN TIMUR ;0.05;18.77;0.06;0.13;0.02;36.024427313405;43.221935959356635
6203;KALIMANTAN TENGAH;KAPUAS ;0.06;14.3;0.4;0.24;0.12;36.2429958227538;41.759186480101
6204;KALIMANTAN TENGAH;BARITO SELATAN ;0.07;17.3;0.04;0.37;0.05;38.4493481558414;43.89173721506103
6205;KALIMANTAN TENGAH;BARITO UTARA ;2.59;19.51;0.1;0.65;0.14;40.5021691075792;45.80691365848698
6206;KALIMANTAN TENGAH;SUKAMARA ;0.15;16.39;0.11;0.16;0.29;48.3491548586875;43.80443895826393
6207;KALIMANTAN TENGAH;LAMANDAU ;2.41;19.78;0.12;0.48;0.03;41.081477670432;44.505094520382414
6208;KALIMANTAN TENGAH;SERUYAN ;0.32;15.78;0.04;0.56;0.13;37.2232175885039;44.500161423121156
6209;KALIMANTAN TENGAH;KATINGAN ;0.26;14.24;0.35;0.33;0.26;37.0290119187921;43.00918287646466
6210;KALIMANTAN TENGAH;PULANG PISAU ;0.16;16.21;0.38;0.02;0.31;43.9314332275781;42.72030815982119
6211;KALIMANTAN TENGAH;GUNUNG MAS ;0.24;16.56;0.08;0.25;0.28;36.6144107770198;44.26018595504849
6212;KALIMANTAN TENGAH;BARITO TIMUR ;0.03;12.37;0.28;0.09;0.03;46.5800908448396;39.90030746083547
6213;KALIMANTAN TENGAH;MURUNG RAYA ;0.21;16.39;0.43;0.2;0.03;36.0219004943461;41.85811353643701
6271;KALIMANTAN TENGAH;PALANGKA RAYA KOTA;0.15;13.34;0.11;0.53;0.12;48.3640081367619;43.158052137483224
6301;KALIMANTAN SELATAN;TANAH LAUT ;0.05;18.61;0.05;0.19;0.2;45.8309279687985;44.519671385558084
6302;KALIMANTAN SELATAN;KOTABARU ;0.06;14.11;0.33;0.12;0.12;41.3531084071258;41.24411830772049
6303;KALIMANTAN SELATAN;BANJAR ;0.37;20.94;0.07;1.16;0.11;40.8445160547365;49.35535598260173
6304;KALIMANTAN SELATAN;BARITO KUALA ;0.05;13.18;0.6;0.06;0.04;41.1014815572205;39.60946653902329
6305;KALIMANTAN SELATAN;TAPIN ;0.31;12.7;0.19;0.5;0.14;43.6944873655369;42.66690004004074
6306;KALIMANTAN SELATAN;HULU SUNGAI SELATAN ;0.09;27.89;0.08;0.73;0.14;47.9630671492413;50.67518075799234
6307;KALIMANTAN SELATAN;HULU SUNGAI TENGAH ;0.5;20.24;0.49;0.58;0.27;44.7712888261525;46.54365237896699
6308;KALIMANTAN SELATAN;HULU SUNGAI UTARA ;0.17;30.89;0.14;0.34;0.11;46.6735095279251;49.88430865659644
6309;KALIMANTAN SELATAN;TABALONG ;0.5;14.29;0.18;1.25;0.12;47.3207195859363;46.67099458965066
6310;KALIMANTAN SELATAN;TANAH BUMBU ;0.35;14.53;0.41;0.41;0.16;46.6525319302967;42.7767619208888
6311;KALIMANTAN SELATAN;BALANGAN ;0.33;14.49;0.35;0.32;0.08;49.3912299726498;41.97789471946007
6371;KALIMANTAN SELATAN;BANJARMASIN KOTA;0.88;16.23;0.03;4.14;0.33;55.6537785965614;62.274686774419564
6372;KALIMANTAN SELATAN;BANJAR BARU KOTA;0.19;11.3;0.12;1.8;0.11;51.981167704035;48.03836002813017
6401;KALIMANTAN TIMUR;PASER ;0.11;10.94;0.13;0.36;0.14;44.9655830114337;41.41309025379366
6402;KALIMANTAN TIMUR;KUTAI BARAT ;0.1;14.96;0.07;0.09;0.07;42.8912120826348;41.62566667510425
6403;KALIMANTAN TIMUR;KUTAI KARTANEGARA ;0.22;15.64;0.2;0.22;0.35;42.3006653143345;43.92959434397269
6404;KALIMANTAN TIMUR;KUTAI TIMUR ;0.05;15.18;0.1;0.36;0.11;43.222454003836;43.17126625989234
6405;KALIMANTAN TIMUR;BERAU ;0.42;16.78;0.45;0.56;0.13;49.9667745846579;44.188980084495896
6409;KALIMANTAN TIMUR;PENAJAM PASER UTARA ;0.02;18.8;0.01;0.23;0.0;45.7724464677556;43.67502789906727
6411;KALIMANTAN TIMUR;MAHAKAM HULU ;0.0;12.3;0.11;0.14;0.18;39.8261893133519;41.302906571999756
6471;KALIMANTAN TIMUR;BALIKPAPAN KOTA;0.1;16.45;0.03;2.73;0.24;56.0488570151582;55.5625173646646
6472;KALIMANTAN TIMUR;SAMARINDA KOTA;0.24;11.58;0.04;0.11;0.02;55.6824503368615;39.941830930728514
6474;KALIMANTAN TIMUR;BONTANG KOTA;0.64;19.92;0.12;1.19;0.42;54.5742809943951;50.722063131785134
6501;KALIMANTAN UTARA;MALINAU ;0.23;13.74;0.04;0.55;0.09;41.4384579383331;43.34569879930719
6502;KALIMANTAN UTARA;BULUNGAN ;0.21;25.57;0.15;0.85;0.04;48.4376532900175;49.45219595448339
6503;KALIMANTAN UTARA;TANA TIDUNG ;0.12;17.07;0.27;0.55;0.05;48.7771159350838;44.20263496247102
6504;KALIMANTAN UTARA;NUNUKAN ;0.18;17.5;0.05;0.58;0.13;34.1720505671656;45.375317624899594
6571;KALIMANTAN UTARA;TARAKAN KOTA;0.06;14.57;0.08;1.41;0.05;54.8267116197708;47.42824196108012
7101;SULAWESI UTARA;BOLAANG MONGONDOW ;0.55;18.15;0.46;0.04;0.17;43.4730299793994;42.56995664927959
7102;SULAWESI UTARA;MINAHASA ;0.03;19.42;0.03;0.51;0.17;48.3582585889751;46.216993027820145
7103;SULAWESI UTARA;KEPULAUAN SANGIHE ;0.03;24.21;0.08;0.22;0.03;44.7086638412139;46.0622513095156
7104;SULAWESI UTARA;KEPULAUAN TALAUD ;0.38;28.23;0.08;0.0;0.16;45.5618103749519;47.481325431094795
7105;SULAWESI UTARA;MINAHASA SELATAN ;0.46;11.56;0.33;0.24;0.03;46.472837582003;40.015598532246514
7106;SULAWESI UTARA;MINAHASA UTARA ;0.07;19.42;0.12;0.48;0.02;44.8101939288849;45.0134124402684
7107;SULAWESI UTARA;BOLAANG MONGONDOW UTARA ;0.09;25.87;0.11;0.38;0.05;45.3535063180584;47.579876907257145
7108;SULAWESI UTARA;SIAU TAGULANDANG BIARO ;0.08;19.37;0.14;0.65;0.11;47.0089419205957;46.27528526020808
7109;SULAWESI UTARA;MINAHASA TENGGARA ;0.03;11.8;0.24;0.05;0.03;47.3114372011652;39.53494224194597
7110;SULAWESI UTARA;BOLAANG MONGONDOW SELATAN ;0.46;18.41;0.03;0.26;0.04;44.0841117935329;43.70883316668241
7111;SULAWESI UTARA;BOLAANG MONGONDOW TIMUR ;0.08;22.41;0.08;0.06;0.07;47.2699224425455;44.753968653551716
7171;SULAWESI UTARA;MANADO KOTA;0.1;11.64;0.04;2.36;0.01;55.2373477216913;50.34740151304521
7172;SULAWESI UTARA;BITUNG KOTA;0.19;13.51;0.12;1.65;0.02;49.0527904840167;47.781132042834734
7173;SULAWESI UTARA;TOMOHON KOTA;0.31;15.15;0.16;0.59;0.02;55.4439955928338;43.497918392266214
7174;SULAWESI UTARA;KOTAMOBAGU KOTA;0.06;19.14;0.15;1.15;0.03;51.1361804400491;47.99574430601804
7201;SULAWESI TENGAH;BANGGAI KEPULAUAN ;0.32;14.76;0.17;0.28;0.06;44.035850170183;42.111913984668256
7202;SULAWESI TENGAH;BANGGAI ;0.9;26.23;0.26;0.6;0.06;45.5462104173314;48.29944267733249
7203;SULAWESI TENGAH;MOROWALI ;0.28;14.36;0.03;0.51;0.15;43.0748758124095;43.793548247427026
7204;SULAWESI TENGAH;POSO ;0.2;18.56;0.09;0.13;0.02;51.1680818979094;43.03027107829478
7205;SULAWESI TENGAH;DONGGALA ;0.65;13.32;0.39;0.08;0.04;40.5069269044437;39.946098262926284
7206;SULAWESI TENGAH;TOLI-TOLI ;0.41;21.48;0.26;0.3;0.05;42.3255577542542;44.915698963801326
7207;SULAWESI TENGAH;BUOL ;0.41;19.57;0.68;0.02;0.1;44.951283571502;42.34200533785739
7208;SULAWESI TENGAH;PARIGI MOUTONG ;0.03;17.93;0.48;0.03;0.0;43.2282234630043;41.53949542073523
7209;SULAWESI TENGAH;TOJO UNA-UNA ;2.16;19.66;0.1;0.33;0.03;40.2414639556521;43.872000759411044
7210;SULAWESI TENGAH;SIGI ;5.26;18.16;0.11;0.08;0.02;40.7537126401258;41.01743827632237
7211;SULAWESI TENGAH;BANGGAI LAUT ;0.06;15.67;0.09;0.01;0.04;44.4369290734567;41.366871101197646
7212;SULAWESI TENGAH;MOROWALI UTARA ;0.21;19.0;0.05;0.02;0.13;44.2728888717331;43.43877314500792
7271;SULAWESI TENGAH;PALU KOTA;8.76;16.84;0.1;1.4;0.19;54.6790254303027;46.48005381300324
7301;SULAWESI SELATAN;KEPULAUAN SELAYAR ;1.46;25.55;0.02;0.54;0.39;43.907974470604;49.93858438580756
7302;SULAWESI SELATAN;BULUKUMBA ;1.0;19.03;0.27;0.5;0.03;43.1450251417361;44.441671901401584
7303;SULAWESI SELATAN;BANTAENG ;0.58;21.2;0.32;0.45;0.47;46.4864603298411;47.83187272829273
7304;SULAWESI SELATAN;JENEPONTO ;0.21;22.95;0.46;0.12;0.01;42.7770618760187;44.203174711520695
7305;SULAWESI SELATAN;TAKALAR ;0.03;29.65;0.46;0.17;0.1;44.07401376314;47.974976723720026
7306;SULAWESI SELATAN;GOWA ;1.28;16.25;0.29;0.36;0.0;44.12726090571;42.27061214761909
7307;SULAWESI SELATAN;SINJAI ;1.61;20.95;0.21;0.21;0.35;46.7833926496562;45.770943902352045
7308;SULAWESI SELATAN;MAROS ;0.14;18.75;0.41;0.8;0.01;47.136364275799;45.60628466613676
7309;SULAWESI SELATAN;PANGKAJENE DAN KEPULAUAN ;0.16;23.09;0.26;0.2;0.02;41.4542086261063;45.060849051256284
7310;SULAWESI SELATAN;BARRU ;0.05;24.74;0.23;0.42;0.01;46.1824407018525;46.83055042603473
7311;SULAWESI SELATAN;BONE ;0.1;15.65;0.4;0.17;0.08;41.1758909921856;41.77888121110241
7312;SULAWESI SELATAN;SOPPENG ;0.08;19.77;0.24;0.25;0.01;48.9679879939884;43.83127112668705
7313;SULAWESI SELATAN;WAJO ;0.05;19.95;0.24;0.09;0.0;42.1946260633848;43.120933999977446
7314;SULAWESI SELATAN;SIDENRENG RAPPANG ;0.06;21.19;0.28;0.41;0.03;47.0764376654126;45.25055586840665
7315;SULAWESI SELATAN;PINRANG ;0.03;21.97;0.62;0.54;0.11;45.3140154735306;46.08354865621983
7316;SULAWESI SELATAN;ENREKANG ;0.14;19.27;0.05;0.0;0.01;46.4207930805875;42.77133063726073
7317;SULAWESI SELATAN;LUWU ;0.08;16.25;0.26;0.14;0.29;44.025947259137;43.40868086520421
7318;SULAWESI SELATAN;TANA TORAJA ;0.09;19.77;0.05;0.04;0.0;41.6984355385651;43.132043489143136
7322;SULAWESI SELATAN;LUWU UTARA ;0.43;17.98;0.42;0.2;0.11;42.622051690995;42.9840964570155
7325;SULAWESI SELATAN;LUWU TIMUR ;0.36;23.43;0.25;0.26;0.05;47.4193819451937;45.622047684559945
7326;SULAWESI SELATAN;TORAJA UTARA ;0.22;13.79;0.14;0.21;0.04;43.9608545038675;41.326142940897384
7371;SULAWESI SELATAN;MAKASSAR KOTA;0.25;11.55;0.39;0.84;0.05;52.4659271648452;42.86234724043477
7372;SULAWESI SELATAN;PAREPARE KOTA;0.15;26.58;0.1;1.08;0.07;52.5867266287884;51.24461209948909
7373;SULAWESI SELATAN;PALOPO KOTA;0.62;23.87;0.13;0.9;0.16;51.6280754859782;49.55858315337418
7401;SULAWESI TENGGARA;BUTON ;0.12;12.74;0.09;0.19;0.01;42.6971599165376;40.71167570906571
7402;SULAWESI TENGGARA;MUNA ;0.01;16.33;0.43;0.07;0.02;48.4433887939037;41.23354238270059
7403;SULAWESI TENGGARA;KONAWE ;0.08;14.81;1.11;0.36;0.07;44.5659803858177;40.98652378612235
7404;SULAWESI TENGGARA;KOLAKA ;0.07;20.65;0.37;0.39;0.26;45.1146664063559;46.1308663956742
7405;SULAWESI TENGGARA;KONAWE SELATAN ;0.55;9.9;0.09;0.12;0.01;41.2719710879026;39.005087775506325
7406;SULAWESI TENGGARA;BOMBANA ;0.75;14.27;0.07;0.16;0.01;43.309804114259;41.085896754422976
7407;SULAWESI TENGGARA;WAKATOBI ;2.44;19.12;0.41;0.88;0.02;48.7343686661811;45.48439572035232
7408;SULAWESI TENGGARA;KOLAKA UTARA ;0.07;15.2;0.17;0.44;0.01;50.2155651148607;42.82419927519542
7409;SULAWESI TENGGARA;BUTON UTARA ;0.09;11.13;0.15;0.25;0.08;46.0328334890411;40.60176904426904
7410;SULAWESI TENGGARA;KONAWE UTARA ;0.17;8.15;0.38;0.03;0.06;41.623173267914;37.72593332859398
7411;SULAWESI TENGGARA;KOLAKA TIMUR ;0.22;12.15;0.11;0.0;0.02;40.2427633744961;39.567685772079024
7412;SULAWESI TENGGARA;KONAWE KEPULAUAN ;0.12;11.79;0.15;0.04;0.01;40.9195901021862;39.495227721710144
7413;SULAWESI TENGGARA;MUNA BARAT ;0.08;19.98;0.2;0.0;0.06;47.6649089159385;43.13705896478105
7414;SULAWESI TENGGARA;BUTON TENGAH ;0.1;15.63;0.12;0.06;0.02;43.2428722652469;41.39590210541983
7415;SULAWESI TENGGARA;BUTON SELATAN ;0.2;14.89;0.05;0.07;0.02;44.5916267037833;41.20839313901634
7471;SULAWESI TENGGARA;KENDARI KOTA;0.06;19.13;0.06;0.99;0.07;51.9673025016638;47.648732865329904
7472;SULAWESI TENGGARA;BAUBAU KOTA;0.06;18.71;0.1;0.71;0.04;56.4760272450329;45.92111991473696
7501;GORONTALO;BOALEMO ;0.14;15.87;0.09;0.03;0.04;46.5021850787578;41.52244832683336
7502;GORONTALO;GORONTALO ;0.1;16.17;0.32;0.19;0.01;44.5011890644476;41.823204337772154
7503;GORONTALO;POHUWATO ;0.95;15.19;0.12;0.36;0.04;48.9010259513152;42.44374566011804
7504;GORONTALO;BONE BOLANGO ;0.07;18.97;0.05;0.28;0.01;48.0825286844284;43.954691412461756
7505;GORONTALO;GORONTALO UTARA ;0.13;20.9;0.2;0.09;0.01;46.3121641890309;43.644027234512414
7571;GORONTALO;GORONTALO KOTA;0.06;25.64;0.09;0.73;0.01;51.1206033283973;48.90163894816961
7601;SULAWESI BARAT;MAJENE ;0.15;16.38;0.24;0.29;0.19;44.7592921300431;43.57599519261403
7602;SULAWESI BARAT;POLEWALI MANDAR ;0.04;21.55;0.2;0.51;0.16;42.5181896576713;46.792923395971926
7603;SULAWESI BARAT;MAMASA ;0.63;15.42;0.07;0.06;0.06;36.5528601085696;41.46532898091447
7604;SULAWESI BARAT;MAMUJU ;0.04;19.53;0.39;0.6;0.13;39.7724373091284;45.807231261687946
7606;SULAWESI BARAT;MAMUJU TENGAH ;0.32;16.88;0.08;0.27;0.05;42.4411851037829;43.0970433117752
8102;MALUKU;MALUKU TENGGARA ;0.26;12.85;0.05;0.45;0.02;37.6413338907229;42.04775411819291
8103;MALUKU;MALUKU TENGAH ;0.32;13.96;0.14;0.18;0.01;44.9679469644118;41.052408823592806
8104;MALUKU;BURU ;0.01;10.56;0.24;0.29;0.02;41.3927564800666;40.04471163172774
8105;MALUKU;KEPULAUAN ARU ;0.23;16.01;0.16;0.34;0.13;28.5157448362801;43.40208998598527
8106;MALUKU;SERAM BAGIAN BARAT ;0.06;13.17;0.1;0.04;0.01;38.0225507993652;40.208927508758194
8107;MALUKU;SERAM BAGIAN TIMUR ;0.14;14.62;0.38;0.13;0.06;33.7377982120856;41.044289787115154
8108;MALUKU;MALUKU BARAT DAYA ;0.28;10.7;0.11;0.08;0.05;35.3734668357038;39.45951642446919
8109;MALUKU;BURU SELATAN ;0.17;12.29;0.24;0.02;0.16;31.3308133812548;40.343706731112015
8171;MALUKU;AMBON KOTA;0.46;8.13;0.04;2.2;0.09;57.1660693687718;48.42895682780635
8172;MALUKU;TUAL KOTA;0.06;14.1;0.17;1.86;0.03;42.5294092131279;49.02314351482551
8201;MALUKU UTARA;HALMAHERA BARAT ;0.55;12.44;0.08;0.09;0.07;41.0503511721927;40.35952723284678
8202;MALUKU UTARA;HALMAHERA TENGAH ;0.11;12.23;0.24;0.23;0.06;43.2131573778742;40.70984640156338
8203;MALUKU UTARA;KEPULAUAN SULA ;0.2;14.36;0.23;0.45;0.02;36.4358165515573;42.414657557572
8204;MALUKU UTARA;HALMAHERA SELATAN ;0.07;15.2;0.09;0.48;0.19;33.2882546012299;44.22289412874379
8205;MALUKU UTARA;HALMAHERA UTARA ;1.08;21.01;0.11;0.48;0.26;40.1664942576099;46.84827426767423
8206;MALUKU UTARA;HALMAHERA TIMUR ;0.09;13.98;0.65;0.18;0.13;43.3617137465759;40.9523537124506
8207;MALUKU UTARA;PULAU MOROTAI ;0.76;19.78;0.07;0.64;0.0;41.8851993651919;45.66542914235907
8208;MALUKU UTARA;PULAU TALIABU ;0.5;5.96;0.17;0.13;0.01;30.5359196302431;37.19254839124545
8271;MALUKU UTARA;TERNATE KOTA;0.16;10.15;0.23;1.78;0.08;52.807295395988;47.07711633930704
8272;MALUKU UTARA;TIDORE KEPULAUAN KOTA;0.09;17.63;0.13;0.58;0.04;49.224610990323;44.78325381196355
9101;PAPUA BARAT;FAKFAK ;0.16;15.59;0.54;0.14;0.15;38.1911070133248;41.76675661575352
9102;PAPUA BARAT;KAIMANA ;0.04;11.37;0.03;0.2;0.05;31.3482314919357;40.52377913860081
9103;PAPUA BARAT;TELUK WONDAMA ;2.12;10.74;0.65;0.54;0.05;34.1437912275052;40.08270732014306
9104;PAPUA BARAT;TELUK BINTUNI ;3.22;11.71;0.36;0.48;0.04;33.4318600048966;40.340641235577735
