idkab;nmprov;nmkab;persen_anggaran_bencana;persen_anggaran_kesehatan;persen_anggaran_pangan;persen_anggaran_sampah;persen_anggaran_lh;adap_score;adap_score_hat
1272;SUMATERA UTARA;TANJUNG BALAI KOTA;0.02;19.38;0.08;0.18;0.23;49.0525261414965;44.947808115371316
1273;SUMATERA UTARA;PEMATANG SIANTAR KOTA;0.04;20.99;0.05;2.09;0.1;53.5783918048167;53.75203398845709
1274;SUMATERA UTARA;TEBING TINGGI KOTA;1.9;25.42;0.1;1.22;0.12;53.4722528613056;51.13593022981439
1275;SUMATERA UTARA;MEDAN KOTA;0.16;14.33;0.18;0.34;0.09;52.9120813464781;42.410902879991404
1276;SUMATERA UTARA;BINJAI KOTA;0.73;20.79;0.1;0.67;0.07;51.5134764244758;46.622506382983204
1277;SUMATERA UTARA;PADANGSIDIMPUAN KOTA;0.41;14.62;0.13;0.66;0.08;49.6755988642391;43.96755385086071
1278;SUMATERA UTARA;GUNUNGSITOLI KOTA;0.51;9.89;0.1;0.89;0.02;44.5676647237589;42.61268726286729
1301;SUMATERA BARAT;KEPULAUAN MENTAWAI ;0.41;15.56;0.2;0.17;0.07;38.4204986976264;41.93472425205526
1302;SUMATERA BARAT;PESISIR SELATAN ;0.55;15.71;0.44;0.54;0.3;48.3535960422558;44.61668620626473
1303;SUMATERA BARAT;SOLOK ;0.19;14.61;0.18;0.15;0.03;45.2270328731758;41.28918263975793
1304;SUMATERA BARAT;SIJUNJUNG ;0.18;20.84;0.07;0.25;0.15;46.5285531529188;45.40451802682293
1305;SUMATERA BARAT;TANAH DATAR ;0.07;16.58;0.26;0.36;0.01;51.6123079770229;42.90374859859155
1306;SUMATERA BARAT;PADANG PARIAMAN ;0.11;15.12;0.04;0.03;0.13;47.5203243203406;41.82624376916893
1307;SUMATERA BARAT;AGAM ;0.97;16.62;0.04;0.26;0.06;43.0589231397685;42.864557847818695
1308;SUMATERA BARAT;LIMA PULUH KOTA ;0.06;12.89;0.36;0.11;0.13;49.3192690029002;40.66800933036043
1309;SUMATERA BARAT;PASAMAN ;0.14;20.74;0.3;0.37;0.07;46.4876974488088;45.046296382963455
1310;SUMATERA BARAT;SOLOK SELATAN ;2.59;25.92;0.16;0.24;0.07;49.5196522091083;46.2104661191642
1311;SUMATERA BARAT;DHARMASRAYA ;2.7;18.25;0.11;0.06;0.02;53.2803497587593;41.75929101452558
1312;SUMATERA BARAT;PASAMAN BARAT ;0.29;17.34;0.14;0.14;0.02;47.1734723907517;42.423866138554246
1372;SUMATERA BARAT;SOLOK KOTA;0.23;10.51;0.14;1.01;0.14;58.2678789580502;44.172159350906384
1374;SUMATERA BARAT;PADANG PANJANG KOTA;0.28;23.94;0.09;1.31;0.11;58.5712488608594;51.36129143515599
1375;SUMATERA BARAT;BUKITTINGGI KOTA;0.22;12.59;0.15;1.92;0.05;62.422552310005;48.74062691787612
1376;SUMATERA BARAT;PAYAKUMBUH KOTA;0.41;21.98;0.13;0.9;0.26;56.005209343069;49.388417464029985
1377;SUMATERA BARAT;PARIAMAN KOTA;0.25;12.55;0.13;0.45;0.58;58.3660468179572;45.11768860878577
1401;RIAU;KUANTAN SINGINGI ;0.14;14.53;0.11;0.35;0.06;46.9841727875621;42.49538206128063
1402;RIAU;INDRAGIRI HULU ;0.09;16.09;0.14;0.33;0.06;42.9938006091772;43.05225899306423
1403;RIAU;INDRAGIRI HILIR ;0.48;16.16;0.11;0.41;0.01;32.2670863788658;43.08615164598735
1404;RIAU;PELALAWAN ;0.09;10.87;0.55;0.76;0.1;42.9003412440031;42.26029007524303
1405;RIAU;S I A K ;0.06;15.27;0.04;0.7;0.01;50.3644030472294;44.28769378862411
1406;RIAU;KAMPAR ;0.53;15.08;0.2;0.12;0.04;45.9794294960043;41.27635587117111
1407;RIAU;ROKAN HULU ;0.02;12.14;0.02;0.37;0.06;43.7924216858922;41.731437214803684
1408;RIAU;BENGKALIS ;0.2;13.71;0.11;0.53;0.12;47.5751123371333;43.30534466942346
1409;RIAU;ROKAN HILIR ;0.14;11.28;0.0;0.81;0.12;42.144326263768;43.74154381841906
1410;RIAU;KEPULAUAN MERANTI ;0.05;16.11;0.03;0.29;0.1;37.2342294737193;43.32041383793935
1471;RIAU;PEKANBARU KOTA;0.29;9.27;0.18;4.27;0.11;54.8616689635075;58.42043139478321
1473;RIAU;D U M A I KOTA;0.09;26.28;0.17;0.43;0.07;51.4973037874161;48.00517043642384
1501;JAMBI;KERINCI ;0.66;9.54;0.04;0.28;0.15;46.7809647148176;40.474421215128565
1502;JAMBI;MERANGIN ;0.41;17.13;0.1;0.34;0.06;42.5963208253441;43.52702676921052
1503;JAMBI;SAROLANGUN ;0.04;18.41;0.07;0.01;0.04;43.5523603897988;42.613906782082694
1504;JAMBI;BATANG HARI ;0.04;15.5;0.33;0.22;0.06;43.5205883092448;41.96620202630953
1505;JAMBI;MUARO JAMBI ;0.29;13.7;0.14;0.14;0.24;43.4675429634143;42.13402998773662
1506;JAMBI;TANJUNG JABUNG TIMUR ;0.29;12.11;0.61;0.06;0.43;37.7541261414475;41.3721925894656
1507;JAMBI;TANJUNG JABUNG BARAT ;0.15;14.37;0.43;0.47;0.13;39.0559264916049;42.83162265756739
1508;JAMBI;TEBO ;0.15;18.31;0.07;0.26;0.01;41.0272233984671;43.51190160770094
1509;JAMBI;BUNGO ;0.74;18.45;0.04;0.53;0.02;45.4575053931699;44.75013231444946
1571;JAMBI;JAMBI KOTA;0.08;14.91;0.1;1.81;0.12;52.1435918402339;49.80199649963955
1572;JAMBI;SUNGAI PENUH KOTA;0.33;19.49;0.16;0.72;0.32;57.5618636094455;47.79102799570448
1601;SUMATERA SELATAN;OGAN KOMERING ULU ;0.19;12.57;0.12;0.16;0.11;45.550738892438;41.02015540418732
1602;SUMATERA SELATAN;OGAN KOMERING ILIR ;0.09;12.99;0.19;0.2;0.14;37.459781307314;41.47675510722442
1603;SUMATERA SELATAN;MUARA ENIM ;0.17;17.1;0.52;0.2;0.1;44.1709840795326;42.44228815841448
1604;SUMATERA SELATAN;LAHAT ;0.11;15.95;0.09;0.18;0.05;44.4263058440145;42.31961780082864
1605;SUMATERA SELATAN;MUSI RAWAS ;0.03;14.79;0.32;0.14;0.15;40.8697408928296;41.841517452679234
1606;SUMATERA SELATAN;MUSI BANYUASIN ;0.4;18.69;0.37;0.83;0.12;40.8780723326917;46.36398755386607
1607;SUMATERA SELATAN;BANYU ASIN ;1.23;11.34;0.19;0.23;0.15;35.8370963463383;40.595064044255224
1609;SUMATERA SELATAN;OGAN KOMERING ULU TIMUR ;0.59;16.19;0.52;0.18;0.02;40.963671696747;41.34202836187036
1610;SUMATERA SELATAN;OGAN ILIR ;0.65;12.3;0.23;0.28;0.08;40.9200401791956;40.94086267933853
1611;SUMATERA SELATAN;EMPAT LAWANG ;0.13;14.72;0.08;0.28;0.1;37.1734565756896;42.549903951993485
1612;SUMATERA SELATAN;PENUKAL ABAB LEMATANG ILIR ;0.37;12.11;0.17;0.04;0.18;42.8033886650074;40.53704094840538
1613;SUMATERA SELATAN;MUSI RAWAS UTARA ;0.07;12.71;0.66;0.05;0.08;37.5957333608499;39.48337454702361
