"","idkab","expo_index","sensi_index","adap_index","hazard_score","adap_score","vul_idx","persen_anggaran_bencana","persen_anggaran_jalan","persen_anggaran_kesehatan","persen_anggaran_pangan","persen_anggaran_sampah","persen_anggaran_lh"
"40","1217",23.8820298102952,12.2427007241032,47.114729007609,18.0623652671992,47.114729007609,-0.346326138224148,0.13,7.93,12.77,0.11,0.33,0.01
"41","1218",12.106319342121,8.47026138465889,43.4809014976852,10.28829036339,43.4809014976852,-0.429481428224432,0.03,6.35,13.43,0.21,0.09,0.09
"42","1219",3.75078948131162,9.29214284522004,43.5849352287507,6.52146616326583,43.5849352287507,-0.473430279705137,0.2,NA,12.34,0.09,0.64,0.03
"43","1220",10.144665616151,9.96746445421926,33.9662605300258,10.0560650351851,33.9662605300258,-0.228455608301191,1.05,NA,11.96,0.14,0.17,0.04
"44","1221",5.59926269245366,9.83357055274777,38.1079258116031,7.71641662260071,38.1079258116031,-0.343303756104165,0.02,5.01,12.87,0.03,0.25,0.16
"45","1222",0.766428794346606,7.16076429917501,43.6672453506232,3.96359654676081,43.6672453506232,-0.536736981251898,3.33,10.5,17.41,0.06,0.44,0.01
"46","1223",2.1002629829693,10.6197490714625,43.3431817879435,6.36000602721592,43.3431817879435,-0.454537154918229,0.19,4.71,15.9,0.02,0.47,0.02
"47","1224",4.60152024853196,19.1624639969939,39.5932924530792,11.8819921227629,39.5932924530792,-0.199430012183581,0.06,NA,9.13,0.09,0.33,0.05
"48","1225",16.1338474004866,18.984994402741,39.7282434782064,17.5594209016138,39.7282434782064,-0.12576983675135,0.03,4.13,16.19,0.07,0.01,0.05
"49","1271",1.50613497595484,10.4590549521737,56.7612193025389,5.98259496406426,56.7612193025389,-0.723672739821429,0,NA,18.71,0.04,0.45,0.05
"50","1272",0.207472655467996,5.74403543513319,49.0525261414965,2.97575404530059,49.0525261414965,-0.67302630771508,0.02,3.39,19.38,0.08,0.18,0.23
"51","1273",1.71223086587274,4.10970103839129,53.5783918048167,2.91096595213202,53.5783918048167,-0.78246737674538,0.04,NA,20.99,0.05,2.09,0.1
"52","1274",2.10320517616639,4.44570366119164,53.4722528613056,3.27445441867902,53.4722528613056,-0.771218225290271,1.9,NA,25.42,0.1,1.22,0.12
"53","1275",3.72624816462544,4.37105874200781,52.9120813464781,4.04865345331663,52.9120813464781,-0.750502681021314,0.16,NA,14.33,0.18,0.34,0.09
"54","1276",1.40593393364245,4.01749356284673,51.5134764244758,2.71171374824459,51.5134764244758,-0.74605237655759,0.73,2.16,20.79,0.1,0.67,0.07
"55","1277",0.563869149352398,7.2385424623139,49.6755988642391,3.90120580583315,49.6755988642391,-0.653926869461425,0.41,NA,14.62,0.13,0.66,0.08
"56","1278",2.65252924544955,13.223652917655,44.5676647237589,7.93809108155228,44.5676647237589,-0.424446012048531,0.51,NA,9.89,0.1,0.89,0.02
"57","1301",2.27275580264941,23.440732553323,38.4204986976264,12.8567441779862,38.4204986976264,-0.110191554883592,0.41,5.36,15.56,0.2,0.17,0.07
"58","1302",21.1002061900411,10.5196174297054,48.3535960422558,15.8099118098732,48.3535960422558,-0.422942117689069,0.55,NA,15.71,0.44,0.54,0.3
"59","1303",10.8999998138566,10.5645547904913,45.2270328731758,10.732277302174,45.2270328731758,-0.431549225746578,0.19,4.81,14.61,0.18,0.15,0.03
"60","1304",5.80831873025136,9.10212326161656,46.5285531529188,7.45522099593396,46.5285531529188,-0.520331857273165,0.18,3.42,20.84,0.07,0.25,0.15
"61","1305",8.22713278836446,8.07387118769603,51.6123079770229,8.15050198803024,51.6123079770229,-0.622666147903955,0.07,NA,16.58,0.26,0.36,0.01
"62","1306",7.24450574055583,10.1058504975329,47.5203243203406,8.67517811904436,47.5203243203406,-0.510423201681272,0.11,NA,15.12,0.04,0.03,0.13
"63","1307",6.01922487396694,8.89988669398542,43.0589231397685,7.45955578397618,43.0589231397685,-0.455040754876196,0.97,NA,16.62,0.04,0.26,0.06
"64","1308",11.2434181065657,8.56224979712626,49.3192690029002,9.90283395184596,49.3192690029002,-0.547643653605389,0.06,NA,12.89,0.36,0.11,0.13
"65","1309",3.94884246496382,9.56782343738952,46.4876974488088,6.75833295117667,46.4876974488088,-0.523413526479779,0.14,6.67,20.74,0.3,0.37,0.07
"66","1310",4.27173094528233,9.63752162888071,49.5196522091083,6.95462628708152,49.5196522091083,-0.579025078321778,2.59,NA,25.92,0.16,0.24,0.07
"67","1311",3.51503119620724,7.22795101513966,53.2803497587593,5.37149110567345,53.2803497587593,-0.704099800128352,2.7,4.48,18.25,0.11,0.06,0.02
"68","1312",4.66977870492545,8.84249766472305,47.1734723907517,6.75613818482425,47.1734723907517,-0.545794080207625,0.29,NA,17.34,0.14,0.14,0.02
"69","1371",8.67931839605919,7.36600724816182,52.6386982564443,8.0226628221105,52.6386982564443,-0.653217007957784,0,NA,12.73,NA,NA,NA
"70","1372",0.631649935624966,3.91180972415838,58.2678789580502,2.27172982989167,58.2678789580502,-0.885293001464397,0.23,2.32,10.51,0.14,1.01,0.14
"71","1373",5.58070128659082,4.91154972828723,54.401221291611,5.24612550743903,54.401221291611,-0.756338433993923,0,NA,17.1,NA,NA,NA
"72","1374",0.280166452214353,5.23599209101796,58.5712488608594,2.75807927161616,58.5712488608594,-0.868127844051145,0.28,1.79,23.94,0.09,1.31,0.11
"73","1375",0.802384335808035,3.64578021881595,62.422552310005,2.224082277312,62.422552310005,-0.970342179202194,0.22,NA,12.59,0.15,1.92,0.05
"74","1376",1.28185982586587,5.32102166610338,56.005209343069,3.30144074598462,56.005209343069,-0.809473961294673,0.41,NA,21.98,0.13,0.9,0.26
"75","1377",0.138315103645331,7.09241520911454,58.3660468179572,3.61536515637993,58.3660468179572,-0.829329686960442,0.25,6.21,12.55,0.13,0.45,0.58
"76","1401",8.52735283409533,7.6257601193586,46.9841727875621,8.07655647672697,46.9841727875621,-0.538880569714704,0.14,3.33,14.53,0.11,0.35,0.06
"77","1402",12.5708941006691,8.17926442539656,42.9938006091772,10.3750792630328,42.9938006091772,-0.422368977880157,0.09,NA,16.09,0.14,0.33,0.06
"78","1403",12.8264586076595,11.459221068863,32.2670863788658,12.1428398382613,32.2670863788658,-0.148003076314518,0.48,NA,16.16,0.11,0.41,0.01
"79","1404",2.99006315176443,9.12670264506774,42.9003412440031,6.05838289841608,42.9003412440031,-0.468512718315063,0.09,NA,10.87,0.55,0.76,0.1
"80","1405",2.83209696572603,6.90562902906468,50.3644030472294,4.86886299739535,50.3644030472294,-0.658109572639218,0.06,NA,15.27,0.04,0.7,0.01
"81","1406",11.1125013936468,7.0290259432735,45.9794294960043,9.07076366846014,45.9794294960043,-0.512896830679892,0.53,4.71,15.08,0.2,0.12,0.04
"82","1407",11.088611333002,7.78981155621431,43.7924216858922,9.43921144460814,43.7924216858922,-0.455709384813007,0.02,1.26,12.14,0.02,0.37,0.06
"83","1408",6.00860492501528,10.9875854229708,47.5751123371333,8.49809517399304,47.5751123371333,-0.503044697944785,0.2,NA,13.71,0.11,0.53,0.12
"84","1409",6.81383880809749,9.61945298718214,42.144326263768,8.21664589763982,42.144326263768,-0.417828508942334,0.14,NA,11.28,0,0.81,0.12
"85","1410",2.06822871062957,17.676200002013,37.2342294737193,9.87221435632128,37.2342294737193,-0.199529749296362,0.05,NA,16.11,0.03,0.29,0.1
"86","1471",0.904743897991937,3.19556392638965,54.8616689635075,2.05015391219079,54.8616689635075,-0.830714922842249,0.29,NA,9.27,0.18,4.27,0.11
"87","1473",1.81193628338149,9.73078813866641,51.4973037874161,5.77136221102395,51.4973037874161,-0.632836124055687,0.09,4.27,26.28,0.17,0.43,0.07
"88","1501",10.1257527086942,9.19611823358167,46.7809647148176,9.66093547113791,46.7809647148176,-0.493604703187327,0.66,NA,9.54,0.04,0.28,0.15
"89","1502",6.68683613205338,9.49739539500682,42.5963208253441,8.0921157635301,42.5963208253441,-0.429881755486256,0.41,1.17,17.13,0.1,0.34,0.06
"90","1503",7.53429737793819,7.62683749484576,43.5523603897988,7.58056743639198,43.5523603897988,-0.478731964176549,0.04,NA,18.41,0.07,0.01,0.04
"91","1504",5.9926055096495,9.16719944089974,43.5205883092448,7.57990247527462,43.5205883092448,-0.459085809434379,0.04,NA,15.5,0.33,0.22,0.06
"92","1505",8.3494499278909,6.93928083323078,43.4675429634143,7.64436538056084,43.4675429634143,-0.484690804355801,0.29,NA,13.7,0.14,0.14,0.24
"93","1506",1.99975785645642,11.8062186320488,37.7541261414475,6.90298824425261,37.7541261414475,-0.323265375870788,0.29,NA,12.11,0.61,0.06,0.43
