"","idkab","expo_index","sensi_index","adap_index","hazard_score","adap_score","vul_idx","persen_anggaran_bencana","persen_anggaran_jalan","persen_anggaran_kesehatan","persen_anggaran_pangan","persen_anggaran_sampah","persen_anggaran_lh"
"175","3215",11.7077879874316,6.9006904956291,43.5996324597493,9.30423924153037,43.5996324597493,-0.464799261824421,0.23,4.57,15.99,0.23,0.57,0.14
"176","3216",13.3873972697402,5.5309449602848,47.2025986388466,9.45917111501249,47.2025986388466,-0.549917300594602,0.36,NA,14.57,0.08,1.47,0.15
"177","3217",13.4344576385336,6.70438532894264,39.4266126808804,10.0694214837381,39.4266126808804,-0.375185716469277,0.19,6.29,11.28,0.1,0.97,0.07
"178","3218",11.2368393225177,10.3375290638112,45.9587051435619,10.7871841931645,45.9587051435619,-0.447878558183141,0.29,NA,19.76,0.5,0.33,0.02
"179","3271",9.262746449639,4.27701594764646,51.4979772086458,6.76988119864273,51.4979772086458,-0.686440601735301,0.1,NA,17.88,0.01,0.86,0.22
"180","3272",1.79199715246648,5.45193390410845,48.5016952389032,3.62196552828747,48.5016952389032,-0.656949699934662,0.09,NA,36.07,0.08,0.26,0.05
"181","3273",5.48504330673068,4.64473675135651,57.254268117538,5.06489002904359,57.254268117538,-0.817835148639063,0.56,NA,18.22,0.1,1.97,0.09
"182","3274",1.22164860549122,6.13636060714147,56.6097640908969,3.67900460631635,56.6097640908969,-0.805980179475369,0.19,NA,32.03,0.13,0.86,0.02
"183","3275",2.62110410101289,3.38820744394726,57.0716953751491,3.00465577248008,57.0716953751491,-0.858280525301354,0.13,3.23,17.81,0.03,2.86,0.13
"184","3276",2.54428096711832,3.36629902948336,51.8629231579795,2.95528999830084,51.8629231579795,-0.75755375413482,0,NA,15.56,NA,NA,NA
"185","3277",1.6720523818381,4.06699956889174,54.520336837726,2.86952597536492,54.520336837726,-0.80195557249309,0.25,NA,22.54,0.06,1.95,0.23
"186","3278",6.8695289266238,5.75879557303687,46.7232979593583,6.31416224983033,46.7232979593583,-0.581223423034738,0.15,1.93,20.35,0.05,0.87,0.11
"187","3279",3.44468650043346,5.21446963712834,50.0299558058881,4.3295780687809,50.0299558058881,-0.679934822591626,0.21,NA,28.08,0.1,0.05,0.03
"188","3301",25.0973495340558,8.29854093970051,41.516925810026,16.6979452368782,41.516925810026,-0.304654589763073,0.18,NA,18.91,0.37,0.23,0.1
"189","3302",24.7166086972689,6.31350547707224,46.9983175325202,15.5150570871706,46.9983175325202,-0.452539385635835,0.32,NA,19.34,0.16,0.13,0.02
"190","3303",12.4010220469855,7.06993065184063,42.3220736756168,9.73547634941305,42.3220736756168,-0.431807118638891,0.05,2.57,17.15,0.31,0.25,0.08
"191","3304",12.9337622681846,8.29065684519553,39.4605933005426,10.6122095566901,39.4605933005426,-0.348742815074352,0.3,3.05,19.57,0.06,0.08,0.01
"192","3305",38.8686476407527,8.54464377146644,44.3133470063359,23.7066457061095,44.3133470063359,-0.259310233301921,0.21,4.23,17.26,0.46,0.29,0.07
"193","3306",22.3733301392468,8.23793013852232,43.250852107112,15.3056301388846,43.250852107112,-0.358499472659503,0.24,NA,19.45,0.11,0.43,0.02
"194","3307",14.0925552715597,9.08418070012363,40.3034456106531,11.5883679858417,40.3034456106531,-0.341895126686037,0.46,NA,16.52,0.12,0.32,0.03
"195","3308",23.1461153530338,8.41738537647066,42.3953469489405,15.7817503647522,42.3953469489405,-0.332999479080703,0.08,NA,15.69,0.04,0.41,0.02
"196","3309",15.0147462036994,7.43887786223746,43.1397398694895,11.2268120329684,43.1397398694895,-0.422592439382395,0.17,4.27,20.24,0.17,0.25,0.07
"197","3310",10.2218923645964,5.01756031005415,48.0085528538184,7.61972633732529,48.0085528538184,-0.597423855391222,0.09,NA,14.31,0.16,0.41,0.07
"198","3311",5.05358113894667,4.15378692187298,47.8197916399629,4.60368403040983,47.8197916399629,-0.646108491284904,0.05,6.09,16.87,0.29,0.52,0.03
"199","3312",24.7218921475091,9.14283593953416,43.8011409489249,16.9323640435216,43.8011409489249,-0.335570386740195,0.02,1.88,19.57,0.24,0.09,0.01
"200","3313",11.0211439021188,5.51892467138495,46.5918895522702,8.27003428675185,46.5918895522702,-0.554583472602295,0.13,1.92,18.19,0.06,0.21,0.04
"201","3314",9.81067966068523,7.02090784877801,43.4657301014766,8.41579375473162,43.4657301014766,-0.472982089908449,0.6,NA,21.5,0.13,0.25,0.02
"202","3315",14.0320278172895,9.02726783623208,43.9499785652871,11.5296478267608,43.9499785652871,-0.414593842631742,0.19,NA,16.04,0.35,0.27,0.1
"203","3316",7.86406486450923,9.10874154219666,41.3213216351514,8.48640320335294,41.3213216351514,-0.404344601923412,0.03,NA,15.77,0.13,0.22,0.16
"204","3317",6.46736194058567,9.09493419716551,43.6434024189939,7.78114806887559,43.6434024189939,-0.459594154608896,0.12,NA,15.7,0.19,0.17,0.01
"205","3318",14.6070793877079,8.80755043627782,45.7853871771216,11.7073149119928,45.7853871771216,-0.450681698747305,0.03,4.21,15.52,0.36,0.15,0
"206","3319",3.67437077754467,4.49507407663815,46.4931912992498,4.08472242709141,46.4931912992498,-0.623168955385987,0.08,1.03,21.24,0.18,0.27,0.01
"207","3320",6.3446738935356,7.0615882805811,44.6139474112761,6.70313108705835,44.6139474112761,-0.518570334373128,0.03,NA,16.18,0.08,0.29,0.14
"208","3321",10.0288561075962,6.85895151950766,46.1908035124149,8.44390381355193,46.1908035124149,-0.527790775998132,0.49,NA,19.53,0.2,0.09,0.07
"209","3322",13.8876130269765,6.88426898590207,46.2469758992183,10.3859410064393,46.2469758992183,-0.501726749519833,0.12,NA,20.53,0.28,0.44,0.03
"210","3323",11.6673219226323,10.048352966695,41.2601702959572,10.8578374446637,41.2601702959572,-0.358755658898583,0.14,NA,21.69,0.02,0.29,0.01
"211","3324",7.06278432190581,7.46473128761701,47.6820934973547,7.26375780476141,47.6820934973547,-0.56573107859499,0.11,NA,19.29,0.22,0.37,0.13
"212","3325",2.66933078056845,6.68644552254334,41.5888266230992,4.6778881515559,41.5888266230992,-0.492151060220078,0.05,NA,16.14,0.19,0.16,0.01
"213","3326",9.89715665686629,6.14653039032446,43.4007682790322,8.02184352359537,43.4007682790322,-0.487965321519623,0.06,NA,23.46,0.06,0.17,0.02
"214","3327",8.01829940302491,7.95880033201628,40.745865394616,7.9885498675206,40.745865394616,-0.414204225638474,0.12,NA,15,0.15,0.21,0.06
"215","3328",9.27384104628003,6.70825749893208,40.4690318165232,7.99104927260605,40.4690318165232,-0.424219298010995,0.09,NA,19.09,0.01,0.49,0.17
"216","3329",15.4876631312157,8.40934433609259,41.1915095277185,11.9485037336542,41.1915095277185,-0.362591579083928,0.1,NA,16.79,0.1,0.19,0.1
"217","3371",0.571724353023278,3.64359855735934,60.0934994855793,2.10766145519131,60.0934994855793,-0.926513373407678,0.1,2.42,30.36,0.2,1.06,0.13
"218","3372",0.311208983201995,3.37401749891136,58.7218801990884,1.84261324105668,58.7218801990884,-0.906733645789669,0,NA,16.94,NA,NA,NA
"219","3373",0,3.96613130476816,55.0124860532213,1.98306565238408,55.0124860532213,-0.825064132413888,0.07,NA,27.3,0.14,0.18,0.15
"220","3374",7.20444555713103,4.44376114940571,54.1196165740219,5.82410335326837,54.1196165740219,-0.748631726620012,0.21,NA,16.3,0.07,1.78,0.2
"221","3375",1.03736327733998,5.72622733090291,47.886910514374,3.38179530412145,47.886910514374,-0.644879178319403,0.18,4.19,22.18,0.09,0.93,0.18
"222","3376",0.103736327733998,5.86663530005499,48.9590968065702,2.9851858138945,48.9590968065702,-0.669557056566074,0.05,5.65,25.45,0.05,2.17,0.09
"223","3401",10.3870265649114,8.3798686742089,48.2647646979857,9.38344761956013,48.2647646979857,-0.536492817454249,0.05,NA,20.26,0.1,0.26,0.05
"224","3402",5.51656542684341,5.45414412532987,50.584839780664,5.48535477608664,50.584839780664,-0.671826828555021,0.2,2.94,18.65,0.04,0.61,0.26
"225","3403",19.1239999718482,11.0436423911159,43.9319482716697,15.0838211814821,43.9319482716697,-0.340189706737762,0.14,NA,15.96,0.12,0.23,0.07
"226","3404",6.62512165376977,4.83887363611366,54.0159325311577,5.73199764494171,54.0159325311577,-0.742998406195446,0.25,NA,15.48,0.14,0.51,0.1
"227","3471",1.06289970562932,3.59291347378611,62.242112622301,2.32790658970772,62.242112622301,-0.966037817481563,0.23,NA,20.91,0.08,0.87,0.06
"228","3501",23.7890125001029,11.5690076633681,42.299277164753,17.6790100817355,42.299277164753,-0.265949048863416,0.07,NA,18.43,0.11,0.41,0.03
"229","3502",16.6906737205997,9.3854669905537,44.8177588279686,13.0380703555767,44.8177588279686,-0.406254038182737,0.41,NA,15.53,0.37,0.15,0.06
"230","3503",13.9691571389969,9.87483284722341,42.0635389872519,11.9219949931102,42.0635389872519,-0.361870982042745,1.01,NA,18.28,0.11,0.19,0.06
"231","3504",8.93571116923439,7.46003493360715,45.2090355198241,8.19787305142077,45.2090355198241,-0.504599097279237,0.23,3.59,24.08,0.06,0.11,0.07
"232","3505",6.96433591809042,9.11668043389959,44.1489527349471,8.040508175995,44.1489527349471,-0.465608700477989,0.29,NA,17.84,0.28,0.2,0.06
"233","3506",11.7964914542223,7.4074258909578,44.2526533931087,9.60195867259004,44.2526533931087,-0.467168982883593,0.2,NA,19.87,0.16,0.33,0.11
"234","3507",10.2731771272099,7.7804344352116,42.0597153406029,9.02680578121077,42.0597153406029,-0.42770256565433,0.09,NA,16.8,0.04,0.24,0.07
"235","3508",3.86012984692207,8.82443171308648,41.3038193272401,6.34228078000428,41.3038193272401,-0.437157747207399,0.1,5.42,18.02,0.2,0.37,0.03
"236","3509",8.91468669154229,8.3266470930316,40.0461457656555,8.62066689228694,40.0461457656555,-0.387260667660054,0.08,NA,16.87,0.04,0.28,0.04
"237","3510",5.19503142763914,10.2033383766075,46.3505230161162,7.69918490212334,46.3505230161162,-0.499875526683923,0.09,NA,16.77,0.1,0.41,0.12
"238","3511",7.77996854891303,9.61039544255887,38.5864002178777,8.69518199573595,38.5864002178777,-0.341870967166419,0.14,2.39,19.65,0.04,0.14,0.04
"239","3512",6.01538599608966,11.144135191378,39.5228507819834,8.57976059373383,39.5228507819834,-0.342793682671324,0.07,NA,18.31,0.08,0.34,0.09
"240","3513",5.69152181009761,9.78278129702272,40.6312851500403,7.73715155356016,40.6312851500403,-0.392903003143924,0.21,NA,16.57,0.17,0.07,0.1
"241","3514",16.6547279660595,7.25598458810748,41.670517054503,11.9553562770835,41.670517054503,-0.386100229554384,0.06,NA,17.24,0.13,0.23,0.05
"242","3515",9.45262909915211,3.7956098543153,52.262726348138,6.62411947673371,52.262726348138,-0.709333291353928,0.06,NA,22.66,0.06,0.83,0.11
"243","3516",9.47718148609357,5.59922656072684,47.2577066314414,7.53820402341021,47.2577066314414,-0.57670568058767,0.07,NA,15.45,0.21,0.2,0.06
"244","3517",11.5926728765306,6.49401311832409,48.3620441731255,9.04334299742732,48.3620441731255,-0.566398167157969,0.02,NA,23.03,0.1,0.2,0.04
"245","3518",7.13272699830095,7.93539845331842,46.7313112716955,7.53406272580969,46.7313112716955,-0.537617813342469,0.13,NA,18.13,0.02,0.25,0.09
"246","3519",6.26049600227175,8.30379011812663,46.3036906573202,7.28214306019919,46.3036906573202,-0.528200509912992,1.24,NA,17.2,0.07,0.11,0.09
"247","3520",4.70288228836372,7.95720603674515,46.9789904854896,6.33004416255444,46.9789904854896,-0.558828206747974,0.07,NA,17.1,0.05,0.14,0.11
"248","3521",13.765690230812,9.16206401513764,44.3445073276671,11.4638771229748,44.3445073276671,-0.421538896674494,0.2,NA,18.91,0.25,0.06,0.09
"249","3522",24.223954662001,9.09935687295763,43.5864636602263,16.6616557674793,43.5864636602263,-0.335659394200814,0.14,NA,15.71,0.08,0.17,0.02
"250","3523",6.89430445776823,8.85248081180155,43.4440733676762,7.87339263478489,43.4440733676762,-0.45742396942375,0.44,4.61,16.41,0.33,0.31,0.14
"251","3524",8.27214479412227,8.16332673864272,46.6624939104539,8.21773576638249,46.6624939104539,-0.524006356250423,0.06,6.43,18.82,0.27,0.13,0.07
"252","3525",11.5482781904248,6.58584221105172,46.9870280524544,9.06706020073828,46.9870280524544,-0.538093941147255,0.08,3.4,15.06,0.07,0.32,0.07
"253","3526",8.82920768547063,12.0625923719062,35.8534807286836,10.4459000286884,35.8534807286836,-0.234015898984592,0.05,NA,17.6,0.26,0.22,0.06
"254","3527",6.61797929418014,12.6288595932938,33.1172440820269,9.62341944373695,33.1172440820269,-0.184974775212514,0.07,NA,16.54,0.3,0.25,0.03
"255","3528",8.57960031312295,13.0520683696784,38.6541577478181,10.8158343414007,38.6541577478181,-0.271345982139094,0.1,NA,15.23,0.03,0.2,0.09
"256","3529",7.75364266629806,15.003284230265,36.9471640204071,11.3784634482815,36.9471640204071,-0.206133563664477,0.04,NA,16.45,0.79,0.09,0.08
"257","3571",0.99098862270646,4.51995616285518,55.1176519304198,2.75547239278082,55.1176519304198,-0.809594997669937,0.33,1.25,25.19,0.07,1,0.06
"258","3572",0.499030556276921,3.92382275476693,59.4320766708168,2.21142665552193,59.4320766708168,-0.908704407509281,0.44,NA,29.76,0.09,1.36,0.15
"259","3573",3.65512267403232,4.23680515142247,55.9610477393423,3.9459639127274,55.9610477393423,-0.813099953263839,0.14,2.38,14.44,0.11,1.14,0.04
"260","3574",0.0691575518226655,5.89867363983122,48.8623567556478,2.98391559582694,48.8623567556478,-0.667290247101516,0.08,NA,24.2,0.07,0.65,0.08
"261","3575",1.97668595124325,5.7694797477042,48.1382895001684,3.87308284947372,48.1382895001684,-0.642460023249118,0.15,NA,19.82,0.15,1.39,0.15
"262","3576",0.282325931587948,3.87953049931279,54.6355795051326,2.08092821545037,54.6355795051326,-0.81742384836168,0.89,NA,24.12,0.09,0.46,0.05
"263","3577",0.0345787759113327,3.60298348798774,57.4479253726536,1.81878113194954,57.4479253726536,-0.879364895111161,0.19,4.35,20.24,0.11,0.69,0.16
"264","3578",0.777820242941178,4.79460641799793,53.1872013087024,2.78621333046956,53.1872013087024,-0.768091861262838,0,NA,20.91,NA,NA,NA
"265","3579",0.856803815711419,5.82121539511779,49.9517747712948,3.33900960541461,49.9517747712948,-0.684604873072723,0.7,3.98,9.5,0.44,0.68,0.11
"266","3601",34.4041584002264,11.5988254274043,33.4380850434393,23.0014919138154,33.4380850434393,-0.0190213884662347,0.08,NA,14.05,0.02,0.07,0.05
"267","3602",35.2568647822338,10.8880613026784,34.6552298826981,23.0724630424561,34.6552298826981,-0.050583336335861,0.11,NA,16.8,0.14,0.25,0.11
"268","3603",16.0336290391616,5.33304164893293,43.155368524313,10.6833353440473,43.155368524313,-0.456433834757366,0.38,NA,19.64,0.04,0.89,0.14
"269","3604",7.37643746275228,7.802533306287,36.0995382210882,7.58948538451964,36.0995382210882,-0.330951649166153,0.15,NA,16.1,0.3,0.91,0.15
"270","3671",2.75410176405681,3.64774165453872,51.3794633045164,3.20092170929777,51.3794633045164,-0.7412424959407,0.05,NA,15.73,0.08,2.6,0.25
"271","3672",2.25075561928376,6.28004567673381,49.7351581424193,4.26540064800879,49.7351581424193,-0.66189939704141,0.19,NA,16.07,0.11,0.7,0.31
"272","3673",1.91488652704093,5.84641118889257,41.9288275114742,3.88064885796675,41.9288275114742,-0.520190405241195,0.17,NA,9.2,0.03,1.9,0.09
"273","3674",1.08962327786977,2.68185742582137,53.1882799990445,1.88574035184557,53.1882799990445,-0.806669949746479,0.28,NA,18.21,0.03,4.59,0.16
"274","5101",1.51811951677393,10.17591405259,51.078854438416,5.84701678468194,51.078854438416,-0.618121052096233,0.17,5.02,17.25,0.05,0.37,0.02
"275","5102",1.84347443917277,7.59820669603727,53.8909701596574,4.72084056760502,53.8909701596574,-0.720439125708215,0.15,2.84,21.74,0.03,0.47,0.02
"276","5103",2.40537277124847,7.35582236656787,60.4773135323633,4.88059756890817,60.4773135323633,-0.849797248320664,0.16,NA,17.5,0.02,1.45,0.07
"277","5104",2.12580037076072,6.20468044988249,55.9314118221992,4.16524041032161,55.9314118221992,-0.785171891520468,0.17,3.08,23.94,0,0.16,0.05
"278","5105",0.574477884123471,9.79653283970757,49.6945255657021,5.18550536191552,49.6945255657021,-0.604930991753792,0.08,3.24,27.01,0.05,0.77,0.03
"279","5106",3.13722374918583,8.31187227491708,46.7560166086428,5.72454801205145,46.7560166086428,-0.558463425734427,0.05,3.87,27.91,0.03,0.34,0.01
"280","5107",2.62345416148754,10.6451456921222,45.7546902317437,6.63429992680487,45.7546902317437,-0.497506171905701,0.11,NA,18.33,0.14,0.66,0.03
"281","5108",7.92350699598995,11.0117008049893,46.5982809772206,9.46760390048964,46.5982809772206,-0.470275078490454,0.22,NA,19.94,0.1,0.71,0.03
"282","5171",0.524377362967277,4.97985405576197,62.7061927851277,2.75211570936462,62.7061927851277,-0.952093390456939,0,NA,16.6,NA,NA,NA
"283","5201",8.37851682010388,10.5636714575144,41.8071492480854,9.47109413880915,41.8071492480854,-0.38223613917659,0.06,NA,19.44,0.31,0.45,0.11
"284","5202",5.9364984394934,11.2294490999092,38.6427021109909,8.58297376970128,38.6427021109909,-0.324513688447098,0.21,NA,13.32,0.45,0.15,0.03
"285","5203",6.20340297176361,10.7090258169162,41.5452527860124,8.4562143943399,41.5452527860124,-0.389357664720016,0.12,NA,19.18,0.17,0.21,0.01
"286","5204",7.48753769910667,13.7512114599622,46.3365265943504,10.6193745795344,46.3365265943504,-0.415389047906496,0.03,NA,23.74,0.19,0.36,0.15
"287","5205",4.40375627290378,13.8710064317121,45.7949889806467,9.13738135230796,45.7949889806467,-0.423825188153404,0.07,NA,16.73,0.31,0.27,0.03
"288","5206",22.9231047967047,15.7078778623098,45.770184270437,19.3154913295072,45.770184270437,-0.25993439591634,0.09,NA,16.94,0.68,0.08,0.11
"289","5207",3.28230775022287,10.9031826809672,55.4549980896094,7.09274521559504,55.4549980896094,-0.677338500907812,0.13,5.23,13.5,0.74,0.19,0.19
"290","5208",1.00091065982802,17.6816285454939,36.8861537257051,9.34126960266098,36.8861537257051,-0.200007958705345,0.17,NA,19.87,0.14,1.08,0.03
"291","5271",0.945018398200555,5.95070642642367,54.0152544703811,3.44786241231211,54.0152544703811,-0.760822656156436,0.07,NA,22.32,0.08,1.67,0.05
"292","5272",3.07876902930405,9.8032220907633,51.8230900433084,6.44099556003368,51.8230900433084,-0.629043311445438,0.36,4.77,18.85,0.15,0.43,0.12
"293","5301",3.77730835577663,15.3253548386245,35.260585403448,9.55133159720054,35.260585403448,-0.194489199031142,0.43,NA,22.42,0.05,0.23,0.08
"294","5302",30.2076505351602,19.4323005853381,36.5280022118677,24.8199755602491,36.5280022118677,0.0426029591698837,0.38,NA,19.03,0.35,0.01,0.17
"295","5303",25.2694964352447,21.2005511429832,36.8907231568429,23.2350237891139,36.8907231568429,0.03546242218885,0.28,5,15.69,0.32,0.07,0.16
"296","5304",19.5865651012604,17.4968502247548,30.2467114002083,18.5417076630076,30.2467114002083,0.0545080624371482,0.03,4.4,19.52,0.2,0.13,0.01
"297","5305",19.6445155368322,16.6648858825525,40.9457253160601,18.1547007096924,40.9457253160601,-0.169977638869022,0.07,3.76,22.2,0.28,0.33,0.04
"298","5306",17.0024156592333,14.0199387173492,41.2440516795423,15.5111771882912,41.2440516795423,-0.245031755492103,2.21,3.87,22.12,0.45,0.41,0.2
"299","5307",29.1300188264623,16.8605061378291,42.7106898928783,22.9952624821457,42.7106898928783,-0.135095595727263,0.07,NA,18.71,0.09,0.17,0.02
"300","5308",21.7144940074525,17.4466773489825,43.4435185141909,19.5805856782175,43.4435185141909,-0.189363636919862,0.03,27.14,12.35,0.21,0,0.01
"301","5309",46.003891682875,19.7270588844261,46.2744241615689,32.8654752836506,46.2744241615689,-0.0327885113648919,0.29,3.63,17.04,0.16,0.15,0.02
"302","5310",32.6585908398845,20.7581850770655,42.8998357326915,26.708387958475,42.8998357326915,-0.0392899448598752,0,8.49,23.62,0.03,0.04,0
"303","5311",37.3766020053656,13.8898768681926,41.0278941777637,25.6332394367791,41.0278941777637,-0.102486926985138,0.02,NA,20.46,0.06,0.41,0.03
"304","5312",12.0691657663599,13.4078780475633,46.4401068849569,12.7385219069616,46.4401068849569,-0.392357635402289,0,NA,18.9,4.26,0.34,0.01
"305","5313",32.2775608511483,15.3164405989769,40.7480904114922,23.7970007250626,40.7480904114922,-0.104781133637815,0.04,NA,18.63,0.12,0.46,0.01
"306","5314",27.5200396567488,19.5589730062938,39.4335046042899,23.5395063315213,39.4335046042899,-0.0302515740991325,0.07,NA,15.29,0.08,0.08,0.08
"307","5315",17.9125502378199,15.1958557904922,39.9829899161827,16.554203014156,39.9829899161827,-0.191463895249147,0.89,NA,18.28,0.24,0.56,0.01
"308","5316",5.49621306236918,20.0078469391526,37.3812817968983,12.7520300007609,37.3812817968983,-0.133774836635515,0.18,8,16.79,0.6,0.06,0.33
"309","5317",2.79751818981469,20.5601369317309,27.5180716753788,11.6788275607728,27.5180716753788,0.0507524508711749,0.15,NA,12.78,0.39,0.07,0.08
"310","5318",7.60265376950983,13.200504541002,42.6125931106174,10.4015791552559,42.6125931106174,-0.3525107968723,0.14,5.91,16.78,0.1,0,0.02
"311","5319",17.6825982776184,18.0052137084612,38.2727020674696,17.8439059930398,38.2727020674696,-0.105531188268417,0.11,NA,16.39,0.12,0.11,0.04
"312","5320",11.9460697750058,20.6834144198717,38.0871617156565,16.3147420974388,38.0871617156565,-0.0899531562446398,0.26,14.59,14.65,0.1,0,0.15
"313","5321",18.5340792195479,19.7274348528438,40.3995036975867,19.1307570361958,40.3995036975867,-0.107975745271638,0.02,3.66,19.45,0.25,0.12,0
"314","5371",5.10465399552535,6.66405147234734,54.8131279715991,5.88435273393634,54.8131279715991,-0.733899392170221,0.05,7.42,13.08,0.14,0.73,0.09
"315","6101",6.92474364185286,11.2033091417724,40.4593166074545,9.06402639181264,40.4593166074545,-0.353648365501127,0.07,NA,15.23,0.09,0.47,0.1
"316","6102",5.94850671599524,9.91766614156213,38.363847856022,7.93308642877869,38.363847856022,-0.344265017306886,0.09,NA,15.79,0.06,0.13,0.11
"317","6103",14.6241893367804,13.1623328036614,33.79120678846,13.8932610702209,33.79120678846,-0.132510266749984,0.07,NA,19.71,0.07,0.37,0.13
"318","6104",5.42686251869647,12.1433095559567,42.0750933159774,8.78508603732656,42.0750933159774,-0.377429886773848,0.02,NA,26.63,0.08,0.48,0.03
"319","6105",9.39468107432924,10.704379114138,33.9304568742319,10.0495300942336,33.9304568742319,-0.218740557655632,0.12,NA,15.91,0.14,0.15,0.15
"320","6106",13.6829952320255,9.75516790984062,34.1354349655079,11.719081570933,34.1354349655079,-0.21139113781474,0.06,NA,12.08,0.09,0.39,0.17
"321","6107",11.1353231026952,13.9353031579687,31.0927075391165,12.5353131303319,31.0927075391165,-0.0890540335726568,0.09,NA,17.21,0.03,0.09,0.06
"322","6108",20.284979440593,10.1312410727443,37.9222260564982,15.2081102566686,37.9222260564982,-0.232431298960388,0.28,6.2,13.39,0.04,0.1,0.12
"323","6109",5.92738526262708,13.7879036980914,33.7367565364837,9.85764448035925,33.7367565364837,-0.179507209526499,0.32,8.14,19.65,0.07,0.22,0.03
"324","6110",14.1161518744896,11.9907970517526,28.8492897692574,13.0534744631211,28.8492897692574,-0.06212652510383,0.15,NA,10.85,0.17,0.07,0.06
"325","6111",2.21223953857219,13.7408745529618,43.0140249509209,7.976557045767,43.0140249509209,-0.387194178548426,0.12,NA,15.27,0.18,0.04,0.3
"326","6112",7.13221292706979,10.7058397573641,39.47498418685,8.91902634221696,39.47498418685,-0.342585368382862,0.1,NA,12.05,0.23,1.05,0.09
"327","6171",1.7342300897363,3.56662660039412,54.9227593376784,2.65042834506521,54.9227593376784,-0.819023534098222,0,NA,18.29,NA,NA,NA
"328","6172",1.81763200767878,9.690298418673,47.8388574704061,5.75396521317589,47.8388574704061,-0.562160789431796,0.07,3.53,27.87,0.08,0.56,0.01
"329","6201",4.11367115381893,8.22382332530744,48.0345500817126,6.16874723956319,48.0345500817126,-0.578368797101465,0.1,NA,23.73,0.16,0.72,0.08
"330","6202",10.7379299693445,8.15933416096314,36.024427313405,9.4486320651538,36.024427313405,-0.299374445216986,0.05,NA,18.77,0.06,0.13,0.02
"331","6203",14.9310589958035,8.37290127971584,36.2429958227538,11.6519801377597,36.2429958227538,-0.270541737411202,0.06,20.31,14.3,0.4,0.24,0.12
"332","6204",8.99279972606407,8.8874990197026,38.4493481558414,8.94014937288333,38.4493481558414,-0.344742275857171,0.07,NA,17.3,0.04,0.37,0.05
"333","6205",10.7029855751647,9.20196608502748,40.5021691075792,9.95247583009611,40.5021691075792,-0.366934245862176,2.59,NA,19.51,0.1,0.65,0.14
"334","6206",1.46329897699399,10.8432337715052,48.3491548586875,6.15326637424961,48.3491548586875,-0.552354640329597,0.15,6.57,16.39,0.11,0.16,0.29
"335","6207",3.56218856466426,9.68261139812722,41.081477670432,6.62239998139574,41.081477670432,-0.418339913379441,2.41,8,19.78,0.12,0.48,0.03
"336","6208",3.56258962454081,9.72325971792166,37.2232175885039,6.64292467123124,37.2232175885039,-0.342237115275167,0.32,NA,15.78,0.04,0.56,0.13
"337","6209",13.9427623701293,7.0218287700345,37.0290119187921,10.4822955700819,37.0290119187921,-0.31875176435531,0.26,NA,14.24,0.35,0.33,0.26
"338","6210",6.93653615032398,8.97581577141736,43.9314332275781,7.95617596087067,43.9314332275781,-0.464269117857758,0.16,NA,16.21,0.38,0.02,0.31
"339","6211",7.83236915847606,8.10482391417753,36.6144107770198,7.96859653632679,36.6144107770198,-0.332025828706125,0.24,NA,16.56,0.08,0.25,0.28
"340","6212",9.76294076200378,8.88074353604109,46.5800908448396,9.32184214902244,46.5800908448396,-0.498268524004372,0.03,NA,12.37,0.28,0.09,0.03
"341","6213",12.2161736350373,7.82651323837928,36.0219004943461,10.0213434367083,36.0219004943461,-0.295520526212752,0.21,NA,16.39,0.43,0.2,0.03
"342","6271",1.78590277904162,3.68022929717981,48.3640081367619,2.73306603811072,48.3640081367619,-0.688444477203975,0.15,NA,13.34,0.11,0.53,0.12
"343","6301",7.09262512451069,8.63411023349672,45.8309279687985,7.8633676790037,45.8309279687985,-0.506854657815641,0.05,NA,18.61,0.05,0.19,0.2
"344","6302",3.13191113008239,13.3661368662804,41.3531084071258,8.24902399818141,41.3531084071258,-0.355635705628421,0.06,NA,14.11,0.33,0.12,0.12
"345","6303",18.5811412075011,7.45618076148458,40.8445160547365,13.0186609844928,40.8445160547365,-0.352802342438363,0.37,NA,20.94,0.07,1.16,0.11
"346","6304",6.79496706927686,10.1489455625388,41.1014815572205,8.47195631590785,41.1014815572205,-0.387398453022824,0.05,NA,13.18,0.6,0.06,0.04
"347","6305",3.75501916438695,7.97503510696687,43.6944873655369,5.86502713567691,43.6944873655369,-0.500920029148798,0.31,NA,12.7,0.19,0.5,0.14
"348","6306",8.95603195409634,7.13785850416846,47.9630671492413,8.0469452291324,47.9630671492413,-0.56442811471675,0.09,NA,27.89,0.08,0.73,0.14
"349","6307",2.97897337662137,9.61655390441516,44.7712888261525,6.29776364051826,44.7712888261525,-0.495672623704063,0.5,2.61,20.24,0.49,0.58,0.27
"350","6308",16.402456686103,5.82640914133485,46.6735095279251,11.1144329137189,46.6735095279251,-0.513054609313292,0.17,NA,30.89,0.14,0.34,0.11
"351","6309",5.075989122691,7.70941393778332,47.3207195859363,6.39270153023716,47.3207195859363,-0.567694969807914,0.5,NA,14.29,0.18,1.25,0.12
"352","6310",3.44273845933744,9.23094694488728,46.6525319302967,6.33684270211236,46.6525319302967,-0.53662111288676,0.35,NA,14.53,0.41,0.41,0.16
